Dataset,Generator,Feature,Metric,Value,Mean,Std,Experiment,SourceFile
1. Cancer,TabDDPM,radius3,KS_Complement,0.415757,0.415757,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,smoothness1,JS_Divergence,0.946261,0.946261,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,symmetry1,JS_Divergence,0.854386,0.854386,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,smoothness3,JS_Divergence,0.836209,0.836209,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,fractal_dimension1,JS_Divergence,0.808398,0.808398,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,smoothness2,JS_Divergence,0.764011,0.764011,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,texture1,JS_Divergence,0.75643,0.75643,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,texture3,JS_Divergence,0.748962,0.748962,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,perimeter1,JS_Divergence,0.729186,0.729186,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,radius1,JS_Divergence,0.726987,0.726987,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,texture2,JS_Divergence,0.717422,0.717422,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,symmetry2,JS_Divergence,0.715705,0.715705,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,symmetry3,JS_Divergence,0.659454,0.659454,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,radius3,JS_Divergence,0.639158,0.639158,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,concave_points3,JS_Divergence,0.633275,0.633275,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,fractal_dimension2,JS_Divergence,0.62781,0.62781,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,fractal_dimension3,JS_Divergence,0.619136,0.619136,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,perimeter3,JS_Divergence,0.61059,0.61059,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,compactness1,JS_Divergence,0.573461,0.573461,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,concave_points2,JS_Divergence,0.567708,0.567708,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,perimeter2,JS_Divergence,0.479446,0.479446,,feature_fidelity,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
2. Alzhimers,CTGAN,Group,KS_Complement,0.993617,0.993617,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,EDUC,KS_Complement,0.885606,0.885606,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,Visit,KS_Complement,0.846796,0.846796,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,SES,KS_Complement,0.846003,0.846003,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,eTIV,KS_Complement,0.818962,0.818962,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,nWBV,KS_Complement,0.817901,0.817901,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,CDR,KS_Complement,0.814279,0.814279,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,MMSE,KS_Complement,0.63563,0.63563,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,MR Delay,KS_Complement,0.587054,0.587054,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,ASF,KS_Complement,0.545121,0.545121,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,Age,KS_Complement,0.501925,0.501925,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,Group,KS_Complement,0.964383,0.964383,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,Visit,KS_Complement,0.859796,0.859796,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,nWBV,KS_Complement,0.789263,0.789263,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,ASF,KS_Complement,0.77363,0.77363,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,EDUC,KS_Complement,0.765236,0.765236,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,CDR,KS_Complement,0.754962,0.754962,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,eTIV,KS_Complement,0.701121,0.701121,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,Age,KS_Complement,0.656877,0.656877,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,MR Delay,KS_Complement,0.617692,0.617692,,feature_fidelity,Generators/SDV models/2. Alzhimers.ipynb
