Dataset,Generator,Metric,Mean,Count,Std,CI_Low,CI_High,NormalizedScore
10. Metro interstate,CopulaGAN,Outlier_Count_Diff,15.75,1,0.0,15.75,15.75,15.75
10. Metro interstate,CopulaGAN,PCA_Correlation_Diff,0.086332,1,0.0,0.086332,0.086332,0.086332
10. Metro interstate,CopulaGAN,PCA_Mean_Error,81.279423,1,0.0,81.279423,81.279423,81.279423
10. Metro interstate,CopulaGAN,PCA_Mean_Error_Pct,40.640829,1,0.0,40.640829,40.640829,40.640829
10. Metro interstate,CopulaGAN,Quality_Score,0.719811,1,0.0,0.719811,0.719811,0.719811
10. Metro interstate,CopulaGAN,Wasserstein_Distance,0.028848,1,0.0,0.028848,0.028848,0.028848
10. Metro interstate,ForestDiffusion,Cosine_Similarity,0.00882,1,0.0,0.00882,0.00882,0.00882
10. Metro interstate,ForestDiffusion,Gower_Distance,0.669023,1,0.0,0.669023,0.669023,0.669023
10. Metro interstate,ForestDiffusion,Gower_Similarity,0.669023,1,0.0,0.669023,0.669023,0.669023
10. Metro interstate,ForestDiffusion,JS_Divergence,0.107,1,0.0,0.107,0.107,0.107
10. Metro interstate,ForestDiffusion,KS_Complement,0.7487,1,0.0,0.7487,0.7487,0.7487
10. Metro interstate,ForestDiffusion,MMD,0.004705,1,0.0,0.004705,0.004705,0.004705
10. Metro interstate,ForestDiffusion,MMD_Multivariate,0.003917,1,0.0,0.003917,0.003917,0.003917
10. Metro interstate,ForestDiffusion,Outlier_Count_Diff,40.5,1,0.0,40.5,40.5,40.5
10. Metro interstate,ForestDiffusion,PCA_Correlation_Diff,0.054512,1,0.0,0.054512,0.054512,0.054512
10. Metro interstate,ForestDiffusion,PCA_Mean_Error,10.219452,1,0.0,10.219452,10.219452,10.219452
10. Metro interstate,ForestDiffusion,PCA_Mean_Error_Pct,5.109726,1,0.0,5.109726,5.109726,5.109726
10. Metro interstate,ForestDiffusion,Quality_Score,0.9053272950819672,1,0.0,0.9053272950819672,0.9053272950819672,0.9053272950819672
10. Metro interstate,ForestDiffusion,Wasserstein_Distance,0.020227,1,0.0,0.020227,0.020227,0.020227
10. Metro interstate,GaussianCopula,Cosine_Similarity,-0.037933,1,0.0,-0.037933,-0.037933,-0.037933
10. Metro interstate,GaussianCopula,Gower_Distance,0.570833,1,0.0,0.570833,0.570833,0.570833
10. Metro interstate,GaussianCopula,Gower_Similarity,0.570833,1,0.0,0.570833,0.570833,0.570833
10. Metro interstate,GaussianCopula,JS_Divergence,0.3763333333333333,1,0.0,0.3763333333333333,0.3763333333333333,0.3763333333333333
10. Metro interstate,GaussianCopula,KS_Complement,0.7023999999999999,1,0.0,0.7023999999999999,0.7023999999999999,0.7023999999999999
10. Metro interstate,GaussianCopula,MMD,1.123683,1,0.0,1.123683,1.123683,1.123683
10. Metro interstate,GaussianCopula,MMD_Multivariate,1.112865,1,0.0,1.112865,1.112865,1.112865
10. Metro interstate,GaussianCopula,Outlier_Count_Diff,47.5,1,0.0,47.5,47.5,47.5
10. Metro interstate,GaussianCopula,PCA_Correlation_Diff,0.060328,1,0.0,0.060328,0.060328,0.060328
10. Metro interstate,GaussianCopula,PCA_Mean_Error,18489.511373,1,0.0,18489.511373,18489.511373,18489.511373
10. Metro interstate,GaussianCopula,PCA_Mean_Error_Pct,9245.2556865,1,0.0,9245.2556865,9245.2556865,9245.2556865
10. Metro interstate,GaussianCopula,Quality_Score,0.573533,1,0.0,0.573533,0.573533,0.573533
