Dataset,Generator,TaskType,Utility,Privacy,Fidelity,UtilityRaw,PrivacyRaw,FidelityRaw,CompositeScore,CompositeRank
14. Energy Efficiency,CopulaGAN,regression,0.37311920826798395,0.0,0.19488370854014028,-0.395872726544909,44872.673732136616,0.6874243408127441,0.2077127958692357,8.0
15. Real Estate Valuation,ForestDiffusion,regression,1.0,0.5275697925420264,1.0,0.5720784430065006,,0.974412294532268,0.8582709377626079,1.0
15. Real Estate Valuation,TVAE,regression,0.956840341638462,0.3544130417797423,0.7939779424117559,0.4937636383262414,12907.394342429992,0.9252749146044105,0.7272534319128343,2.0
15. Real Estate Valuation,WGAN_GP,regression,0.9502785096225387,0.5275697925420264,0.4262585088395405,0.48185695017855074,,,0.6662598942634854,3.0
15. Real Estate Valuation,CTABGAN,regression,0.8790760575912671,0.5275697925420264,0.4262585088395405,0.35265745381381974,,,0.6377789134509768,4.0
15. Real Estate Valuation,GaussianCopula,regression,0.9695028256043591,0.0,0.637323450592402,0.5167401862462749,12907.631343377981,0.8879119672965186,0.5789981654194643,5.0
15. Real Estate Valuation,TabDDPM,regression,0.8389158260857754,0.5275697925420264,0.00020782364608273518,0.2797852206760945,,0.7359564292064903,0.4938996152907429,6.0
15. Real Estate Valuation,CopulaGAN,regression,0.4585560671181399,1.0,0.0,-0.41039170292825056,12906.96262941983,0.7359068621379196,0.48342242684725595,7.0
15. Real Estate Valuation,CTGAN,regression,0.0,0.7558661283883631,0.126041836387002,-1.2424587348421992,12907.125885147434,0.7659685248251792,0.2645723894326095,8.0
2. Alzhimers,GaussianCopula,classification,0.6921376697189769,0.5503515675871391,1.0,0.8242666666666667,,0.7917780477772111,0.7419605381637324,1.0
2. Alzhimers,ForestDiffusion,classification,1.0,0.5503515675871391,0.502547622219262,0.9542666666666667,,,0.7158697569419203,2.0
2. Alzhimers,TVAE,classification,0.8048626460372594,0.5503515675871391,0.698161715731983,0.8718666666666668,,0.7457330134830538,0.6964990434106404,3.0
2. Alzhimers,WGAN_GP,classification,0.8238080202083994,0.5503515675871391,0.502547622219262,0.8798666666666668,,,0.6453929650252801,4.0
2. Alzhimers,CTABGAN,classification,0.730659930533628,0.5503515675871391,0.502547622219262,0.8405333333333334,,,0.6081337291553714,5.0
2. Alzhimers,TabDDPM,classification,0.0,0.5503515675871391,0.502547622219262,0.532,,,0.3158697569419203,6.0
