Dataset,Generator,RegressionModel,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
10. Metro interstate,CTGAN,Gradient Boosting,MAE,TRTR,1763.437489811155,0.6369617895430053,2,1762.9818347961548,1763.8931448261553
10. Metro interstate,CTGAN,Gradient Boosting,MAE,TSTR,1896.129835937987,0.1463051731541486,2,1896.0251755219895,1896.2344963539847
10. Metro interstate,CTGAN,Gradient Boosting,MSE,TRTR,4053008.861264782,4338.1754980025,2,4049905.5174628966,4056112.2050666674
10. Metro interstate,CTGAN,Gradient Boosting,MSE,TSTR,4624595.982295508,374.2212905060111,2,4624328.280510976,4624863.684080039
10. Metro interstate,CTGAN,Gradient Boosting,R2,TRTR,0.02656340987021049,0.001041926852052933,2,0.025818060301059733,0.027308759439361247
10. Metro interstate,CTGAN,Gradient Boosting,R2,TSTR,-0.1107182584172411,8.987907736046437e-05,2,-0.11078255403593477,-0.11065396279854743
10. Metro interstate,CTGAN,Gradient Boosting,RMSE,TRTR,2013.208310339395,1.077239612232584,2,2012.4376995433802,2013.9789211354098
10. Metro interstate,CTGAN,Gradient Boosting,RMSE,TSTR,2150.487380740763,0.0870071240257472,2,2150.425139593721,2150.549621887805
10. Metro interstate,CTGAN,KNN,MAE,TRTR,1939.979,2.273736754432321e-13,2,1939.9789999999998,1939.9790000000003
10. Metro interstate,CTGAN,KNN,MAE,TSTR,1977.234,2.273736754432321e-13,2,1977.2339999999997,1977.2340000000002
10. Metro interstate,CTGAN,KNN,MSE,TRTR,4893854.9594,9.313225746154785e-10,2,4893854.959399999,4893854.959400001
10. Metro interstate,CTGAN,KNN,MSE,TSTR,5413713.514,0.0,2,5413713.514,5413713.514
10. Metro interstate,CTGAN,KNN,R2,TRTR,-0.1753878778299749,0.0,2,-0.1753878778299749,-0.1753878778299749
10. Metro interstate,CTGAN,KNN,R2,TSTR,-0.3002455714748161,5.551115123125783e-17,2,-0.3002455714748162,-0.30024557147481606
10. Metro interstate,CTGAN,KNN,RMSE,TRTR,2212.205903481862,4.547473508864641e-13,2,2212.2059034818617,2212.2059034818626
10. Metro interstate,CTGAN,KNN,RMSE,TSTR,2326.738815165982,0.0,2,2326.738815165982,2326.738815165982
10. Metro interstate,CTGAN,Lasso,MAE,TRTR,1768.235888101171,0.0,2,1768.235888101171,1768.235888101171
10. Metro interstate,CTGAN,Lasso,MAE,TSTR,1888.461347698595,2.273736754432321e-13,2,1888.4613476985949,1888.4613476985953
10. Metro interstate,CTGAN,Lasso,MSE,TRTR,4071408.98231644,0.0,2,4071408.98231644,4071408.98231644
10. Metro interstate,CTGAN,Lasso,MSE,TSTR,4354345.462941912,9.313225746154785e-10,2,4354345.462941911,4354345.462941913
10. Metro interstate,CTGAN,Lasso,R2,TRTR,0.02214413724890374,0.0,2,0.02214413724890374,0.02214413724890374
10. Metro interstate,CTGAN,Lasso,R2,TSTR,-0.04581049407589277,0.0,2,-0.04581049407589277,-0.04581049407589277
10. Metro interstate,CTGAN,Lasso,RMSE,TRTR,2017.773273268441,2.273736754432321e-13,2,2017.7732732684408,2017.7732732684412
10. Metro interstate,CTGAN,Lasso,RMSE,TSTR,2086.706846430977,4.547473508864641e-13,2,2086.7068464309764,2086.7068464309773
10. Metro interstate,CTGAN,Linear Regression,MAE,TRTR,1768.200304267411,2.273736754432321e-13,2,1768.2003042674107,1768.2003042674112
10. Metro interstate,CTGAN,Linear Regression,MAE,TSTR,1888.461282233377,0.0,2,1888.461282233377,1888.461282233377
10. Metro interstate,CTGAN,Linear Regression,MSE,TRTR,4072730.592219864,4.656612873077393e-10,2,4072730.5922198636,4072730.5922198645
10. Metro interstate,CTGAN,Linear Regression,MSE,TSTR,4354343.077365523,9.313225746154785e-10,2,4354343.077365522,4354343.077365524
10. Metro interstate,CTGAN,Linear Regression,R2,TRTR,0.02182671789900648,0.0,2,0.02182671789900648,0.02182671789900648
