Dataset,Generator,Metric,Mean_CV,Std_CV,N
15. Real Estate Valuation,TabDDPM,MAE,0.09509584801099089,0.028311163077286004,20
15. Real Estate Valuation,TabDDPM,MSE,0.19826973902491446,0.04776580149847011,20
15. Real Estate Valuation,TabDDPM,R2,1.6403021996871765,1.8623428865055942,20
15. Real Estate Valuation,TabDDPM,RMSE,0.1024970000408858,0.02591966450576413,20
15. Real Estate Valuation,WGAN_GP,MAE,0.14166268129083617,0.01808622982529486,20
15. Real Estate Valuation,WGAN_GP,MSE,0.30196156719694106,0.020490193828715256,20
15. Real Estate Valuation,WGAN_GP,R2,0.4014999857062054,0.12058768738848383,20
15. Real Estate Valuation,WGAN_GP,RMSE,0.1548480477223299,0.01129487952869904,20
2. Alzhimers,CTABGAN,Accuracy,0.06104644967882007,0.04622201302726258,20
2. Alzhimers,CTABGAN,F1,0.05588427637058765,0.03435029259123372,20
2. Alzhimers,CTABGAN,Precision,0.0734175591061118,0.060606636861952605,20
2. Alzhimers,CTABGAN,Recall,0.0856973320565713,0.0562754198007796,20
2. Alzhimers,CTGAN,Accuracy,0.09821002821635291,0.04317222319412187,20
2. Alzhimers,CTGAN,F1,0.10027478373338176,0.04017937234169585,20
2. Alzhimers,CTGAN,Precision,0.09375070394956152,0.04720089770761252,20
2. Alzhimers,CTGAN,Recall,0.13999128827890547,0.03873639517668378,20
2. Alzhimers,CopulaGAN,Accuracy,0.088674698034832,0.02658113142135497,20
2. Alzhimers,CopulaGAN,F1,0.16638876133063332,0.048453399141086734,20
2. Alzhimers,CopulaGAN,Precision,0.1358451135690521,0.03343170533992645,20
2. Alzhimers,CopulaGAN,Recall,0.2190197668970916,0.0535360609478385,20
2. Alzhimers,ForestDiffusion,Accuracy,0.02079616961685236,0.005272528090154725,20
2. Alzhimers,ForestDiffusion,F1,0.022481666940121593,0.006062430525370646,20
2. Alzhimers,ForestDiffusion,Precision,0.018621519768314984,0.006562568910836875,20
2. Alzhimers,ForestDiffusion,Recall,0.03881420279888057,0.01049695306183498,20
2. Alzhimers,GaussianCopula,Accuracy,0.04649400432053828,0.021275272185067362,20
2. Alzhimers,GaussianCopula,F1,0.04517931778892967,0.021187781579496044,20
2. Alzhimers,GaussianCopula,Precision,0.05507080641583255,0.019728314902500897,20
2. Alzhimers,GaussianCopula,Recall,0.0648206020902388,0.03583030858275606,20
2. Alzhimers,TVAE,Accuracy,0.03915678892721522,0.01446955055052486,20
2. Alzhimers,TVAE,F1,0.035412235273683826,0.011065516804568755,20
2. Alzhimers,TVAE,Precision,0.04588777527700645,0.01710614268057084,20
2. Alzhimers,TVAE,Recall,0.04000238981343205,0.011056165465901567,20
2. Alzhimers,TabDDPM,Accuracy,0.08623258223955368,0.027737576846215948,20
2. Alzhimers,TabDDPM,F1,0.26371595310273505,0.17837978953948896,20
2. Alzhimers,TabDDPM,Precision,0.187859177768188,0.10856740674543928,20
2. Alzhimers,TabDDPM,Recall,0.3056432217271199,0.18709498098414504,20
2. Alzhimers,WGAN_GP,Accuracy,0.04393808380925466,0.012864418746729282,20
2. Alzhimers,WGAN_GP,F1,0.062243936097554,0.022933073670254878,20
2. Alzhimers,WGAN_GP,Precision,0.012023241169612262,0.009813649364274623,20
2. Alzhimers,WGAN_GP,Recall,0.10306157063358665,0.03221202028172877,20
3. Adult,CTABGAN,Accuracy,0.12653139055540194,0.12561571650543357,20
3. Adult,CTABGAN,F1,0.15621252063164817,0.22461401659993707,20
3. Adult,CTABGAN,Precision,0.12954816675966185,0.18405610759229163,20
3. Adult,CTABGAN,Recall,0.12653139055540197,0.1256157165054336,20
3. Adult,CTGAN,Accuracy,0.03211552249797593,0.037403872575148975,20
3. Adult,CTGAN,F1,0.02887898878011929,0.030388783452014345,20
3. Adult,CTGAN,Precision,0.04335547126218453,0.04328589026786467,20
3. Adult,CTGAN,Recall,0.03211552249797593,0.037403872575148975,20
3. Adult,CopulaGAN,Accuracy,0.038829634840638096,0.028900431745366398,20
3. Adult,CopulaGAN,F1,0.03101177006562832,0.02101871890499651,20
3. Adult,CopulaGAN,Precision,0.04517001122720687,0.031948559565486596,20
3. Adult,CopulaGAN,Recall,0.038829634840638096,0.02890043174536639,20
3. Adult,ForestDiffusion,Accuracy,0.040531786738579045,0.011658933944198346,20
3. Adult,ForestDiffusion,F1,0.03593583690375934,0.009859718996433377,20
3. Adult,ForestDiffusion,Precision,0.02651270536176309,0.006003428699302929,20
3. Adult,ForestDiffusion,Recall,0.04053178673857904,0.011658933944198337,20
3. Adult,GaussianCopula,Accuracy,0.06386447111660623,0.06450402347747486,20
3. Adult,GaussianCopula,F1,0.04379800233251211,0.045095341942209266,20
3. Adult,GaussianCopula,Precision,0.027772863610231995,0.019028157737623137,20
3. Adult,GaussianCopula,Recall,0.06386447111660623,0.06450402347747484,20
3. Adult,TVAE,Accuracy,0.03658169333191948,0.026140551115107068,20
3. Adult,TVAE,F1,0.0232437790423597,0.01807605515737406,20
3. Adult,TVAE,Precision,0.03656600993980741,0.027748792096464824,20
3. Adult,TVAE,Recall,0.03658169333191948,0.026140551115107068,20
3. Adult,TabDDPM,Accuracy,0.20936104281717832,0.15841308558485204,20
3. Adult,TabDDPM,F1,0.23950417969711588,0.21263121627681003,20
3. Adult,TabDDPM,Precision,0.2282686344408414,0.21858187150453254,20
3. Adult,TabDDPM,Recall,0.20936104281717832,0.15841308558485204,20
3. Adult,WGAN_GP,Accuracy,0.08411053039185225,0.021890315604431797,20
3. Adult,WGAN_GP,F1,0.14902335871825598,0.04681427836728403,20
3. Adult,WGAN_GP,Precision,0.05681493150422212,0.023847402257129453,20
3. Adult,WGAN_GP,Recall,0.08411053039185225,0.021890315604431797,20
4. Forest cover dataset,CTABGAN,Accuracy,0.11477392127024048,0.046861322175296434,20
4. Forest cover dataset,CTABGAN,F1,0.08889647646152231,0.03791390639176308,20
4. Forest cover dataset,CTABGAN,Precision,0.08750600734690951,0.032742896762032896,20
4. Forest cover dataset,CTABGAN,Recall,0.11477392127024048,0.046861322175296434,20
4. Forest cover dataset,CTGAN,Accuracy,0.24533371167815163,0.0930420702023375,20
4. Forest cover dataset,CTGAN,F1,0.2629666856044939,0.11863440702760575,20
4. Forest cover dataset,CTGAN,Precision,0.2012834216745895,0.10324590957892839,20
4. Forest cover dataset,CTGAN,Recall,0.24533371167815163,0.0930420702023375,20
4. Forest cover dataset,CopulaGAN,Accuracy,0.3953992050619249,0.13546934774032524,20
4. Forest cover dataset,CopulaGAN,F1,0.4433962982904892,0.21458342708623887,20
4. Forest cover dataset,CopulaGAN,Precision,0.31636466697746546,0.22529660329975257,20
4. Forest cover dataset,CopulaGAN,Recall,0.3953992050619249,0.13546934774032524,20
4. Forest cover dataset,GaussianCopula,Accuracy,0.07199893157858217,0.03237628289611019,20
4. Forest cover dataset,GaussianCopula,F1,0.08186996399864836,0.02328208315394181,20
4. Forest cover dataset,GaussianCopula,Precision,0.08007690464386807,0.015646294311964216,20
4. Forest cover dataset,GaussianCopula,Recall,0.07199893157858217,0.03237628289611019,20
