Dataset,Generator,Retention,Utility,Privacy,Fidelity,Metric
4. Forest cover dataset,CopulaGAN,0.1516017568066778,0.0,0.5,0.0,Accuracy
4. Forest cover dataset,GaussianCopula,0.7428143595773811,1.0,0.5,1.0,Accuracy
4. Forest cover dataset,TVAE,0.6143169437936282,0.774983366600133,0.5,0.37518524851801216,Accuracy
4. Forest cover dataset,WGAN_GP,0.6519910930043812,0.8404524284763805,0.5,0.3690827348381215,Accuracy
5. Bank Markting,CTABGAN,0.9692840594469783,0.40115518744550743,0.5503515675871391,0.41743968295444644,Accuracy
5. Bank Markting,CTGAN,0.9494059534090755,0.0,0.5503515675871391,1.0,Accuracy
5. Bank Markting,CopulaGAN,0.9786524617742037,0.5448997384481257,0.5503515675871391,0.5194669453880336,Accuracy
5. Bank Markting,ForestDiffusion,1.0026320180768447,1.0,0.5503515675871391,0.41743968295444644,Accuracy
5. Bank Markting,GaussianCopula,0.9755624192151933,0.49226242371403556,0.5503515675871391,0.0,Accuracy
5. Bank Markting,TVAE,0.9681335985706788,0.341216216216213,0.5503515675871391,0.15029178642975227,Accuracy
5. Bank Markting,TabDDPM,0.9791616850767326,0.5678945074106372,0.5503515675871391,0.41743968295444644,Accuracy
5. Bank Markting,WGAN_GP,0.9869520594117456,0.7102223190932834,0.5503515675871391,0.41743968295444644,Accuracy
6. Wine dataset,CTABGAN,0.8331526302659571,0.48002677973666597,0.6812254467515171,0.4922937223802892,Accuracy
6. Wine dataset,CTGAN,0.5179089881286114,0.0,1.0,0.021248259579878297,Accuracy
6. Wine dataset,CopulaGAN,0.5923389913877157,0.11989082107359297,0.9069065500137146,0.0,Accuracy
6. Wine dataset,ForestDiffusion,1.1552590776267846,1.0,0.6812254467515171,0.4922937223802892,Accuracy
6. Wine dataset,GaussianCopula,0.8203087398169389,0.4604054726795186,0.0,1.0,Accuracy
6. Wine dataset,TVAE,1.002741388807791,0.7330952912296363,0.8179952369923539,0.9479266299412786,Accuracy
6. Wine dataset,TabDDPM,0.7907154634968867,0.4431188093317085,0.6812254467515171,0.4922937223802892,Accuracy
6. Wine dataset,WGAN_GP,0.8613975668451485,0.5263763239661475,0.6812254467515171,0.4922937223802892,Accuracy
7. CDC diabetes dataset,CTABGAN,0.9756637207599452,0.6843769988261814,0.7407303412212735,0.5061160357852075,Accuracy
7. CDC diabetes dataset,CTGAN,0.9967579219381152,1.0,0.9970458691610874,0.0,Accuracy
7. CDC diabetes dataset,CopulaGAN,0.9616039991172303,0.4719443878232387,0.9658754957240063,0.16684750342907556,Accuracy
7. CDC diabetes dataset,ForestDiffusion,0.9243770249540063,0.0,0.7407303412212735,0.5061160357852075,Accuracy
7. CDC diabetes dataset,GaussianCopula,0.9881761205568631,0.8722859894145667,0.0,1.0,Accuracy
7. CDC diabetes dataset,TVAE,0.9749618518747886,0.6774079046327065,1.0,0.8576166397117545,Accuracy
7. CDC diabetes dataset,TabDDPM,0.9902703006075164,0.8949364241482792,0.7407303412212735,0.5061160357852075,Accuracy
7. CDC diabetes dataset,WGAN_GP,0.9919697235890034,0.9410420957187307,0.7407303412212735,0.5061160357852075,Accuracy
8. Mushroom dataset,CTABGAN,0.6957666034213917,0.23659396560231807,0.6239120009043568,0.5644554816623172,Accuracy
8. Mushroom dataset,CTGAN,0.6832092228953655,0.20630833505291812,1.0,0.0,Accuracy
8. Mushroom dataset,CopulaGAN,0.6911589901013955,0.24002715449050954,0.806818675194184,0.39040884474001813,Accuracy
8. Mushroom dataset,ForestDiffusion,0.9295101106132936,1.0,0.6239120009043568,0.5644554816623172,Accuracy
8. Mushroom dataset,GaussianCopula,0.7202166789788805,0.31703764844504606,0.0,0.8674130819092504,Accuracy
8. Mushroom dataset,TVAE,0.7544922312780363,0.4240556487620484,0.6888293284232436,1.0,Accuracy
8. Mushroom dataset,TabDDPM,0.6117327827297443,0.0,0.6239120009043568,0.5644554816623172,Accuracy
8. Mushroom dataset,WGAN_GP,0.8255368136840435,0.641240732931997,0.6239120009043568,0.5644554816623172,Accuracy
9. MAGIC Gamma Telescope,CTABGAN,0.9455473105959703,0.8933444235287257,0.9994632900972054,0.32795020974830186,Accuracy
9. MAGIC Gamma Telescope,CTGAN,0.875557525981937,0.5624480147091018,0.0,0.1380343587694763,Accuracy
9. MAGIC Gamma Telescope,CopulaGAN,0.8849432828588683,0.6094791985874597,0.0003491697583786202,0.0,Accuracy
9. MAGIC Gamma Telescope,ForestDiffusion,0.9766727556875692,1.0,0.9996182921982331,0.32795020974830186,Accuracy
9. MAGIC Gamma Telescope,GaussianCopula,0.8837414833781543,0.6023873104816945,0.000415553703313587,0.17376648022373106,Accuracy
9. MAGIC Gamma Telescope,TVAE,0.9036162175631901,0.6992222270863429,0.0002533789039209644,1.0,Accuracy
9. MAGIC Gamma Telescope,TabDDPM,0.7619870304054259,0.0,0.9976549414333673,0.32795020974830186,Accuracy
9. MAGIC Gamma Telescope,WGAN_GP,0.9579477417307922,0.9553327788235645,1.0,0.32795020974830186,Accuracy
