Dataset,Generator,Classifier,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
1. Cancer,CTGAN,Logistic Regression,Accuracy,TSTR,0.7912280701754387,0.0128920512778062,2,0.7820056522615042,0.8004504880893732
1. Cancer,CTGAN,Logistic Regression,F1,TRTR,0.9707868770215718,0.0137941861874265,2,0.9609191106699073,0.9806546433732364
1. Cancer,CTGAN,Logistic Regression,F1,TSTR,0.7657846423459664,0.01159782677494995,2,0.7574880568680495,0.7740812278238833
1. Cancer,CTGAN,Logistic Regression,Precision,TRTR,0.9901768962744573,0.01203823054760635,2,0.9815652649163472,0.9987885276325673
1. Cancer,CTGAN,Logistic Regression,Precision,TSTR,0.6535649630917597,0.01919003519494301,2,0.6398372388888979,0.6672926872946215
1. Cancer,CTGAN,Logistic Regression,Recall,TRTR,0.9523809523809523,0.02129588549999798,2,0.9371467936193918,0.9676151111425129
1. Cancer,CTGAN,Logistic Regression,Recall,TSTR,0.9261904761904762,0.03095238095238095,2,0.9040484767194086,0.9483324756615439
1. Cancer,CTGAN,MLP,Accuracy,TRTR,0.974561403508772,0.01327433855300136,2,0.9650655137524552,0.9840572932650887
1. Cancer,CTGAN,MLP,Accuracy,TSTR,0.7201754385964911,0.06685683863961835,2,0.6723489373630921,0.7680019398298902
1. Cancer,CTGAN,MLP,F1,TRTR,0.9646057122906845,0.01869298955577862,2,0.9512335531183903,0.9779778714629787
1. Cancer,CTGAN,MLP,F1,TSTR,0.7178685882670924,0.04862817078019972,2,0.6830820904738961,0.7526550860602887
1. Cancer,CTGAN,MLP,Precision,TRTR,0.985467661474468,0.0191919907367019,2,0.971738538361304,0.999196784587632
1. Cancer,CTGAN,MLP,Precision,TSTR,0.5813814731916255,0.06881605869648902,2,0.5321534303601931,0.6306095160230578
1. Cancer,CTGAN,MLP,Recall,TRTR,0.9452380952380952,0.03021089890583217,2,0.9236265200696926,0.9668496704064978
1. Cancer,CTGAN,MLP,Recall,TSTR,0.95,0.0457366016959489,2,0.9172820061203649,0.982717993879635
1. Cancer,CTGAN,Naive Bayes,Accuracy,TRTR,0.9324561403508772,0.02322491630679601,2,0.9158420360798095,0.9490702446219449
1. Cancer,CTGAN,Naive Bayes,Accuracy,TSTR,0.8517543859649122,0.02947420634458147,2,0.8306698089077904,0.8728389630220339
1. Cancer,CTGAN,Naive Bayes,F1,TRTR,0.9055642341410918,0.0327534076549362,2,0.8821338577804818,0.9289946105017017
1. Cancer,CTGAN,Naive Bayes,F1,TSTR,0.8124915287949535,0.03406757728491355,2,0.788121052113899,0.8368620054760079
1. Cancer,CTGAN,Naive Bayes,Precision,TRTR,0.931024002484766,0.03636585629143303,2,0.9050094360445099,0.9570385689250221
1. Cancer,CTGAN,Naive Bayes,Precision,TSTR,0.7650298077911399,0.04849160121861332,2,0.7303410059769723,0.7997186096053076
1. Cancer,CTGAN,Naive Bayes,Recall,TRTR,0.8833333333333332,0.05156287578025646,2,0.8464474740513078,0.9202191926153586
1. Cancer,CTGAN,Naive Bayes,Recall,TSTR,0.8690476190476192,0.04158154570612614,2,0.839301973165072,0.8987932649301663
1. Cancer,CTGAN,Random Forest,Accuracy,TRTR,0.962280701754386,0.0136176971019825,2,0.9525391880888254,0.9720222154199465
1. Cancer,CTGAN,Random Forest,Accuracy,TSTR,0.7157894736842105,0.02723539420396496,2,0.6963064463530894,0.7352725010153317
1. Cancer,CTGAN,Random Forest,F1,TRTR,0.9482304799188631,0.01843776018375915,2,0.9350409008404541,0.9614200589972721
1. Cancer,CTGAN,Random Forest,F1,TSTR,0.6893646786324237,0.03071131504379913,2,0.6673951273238584,0.7113342299409889
1. Cancer,CTGAN,Random Forest,Precision,TRTR,0.9617923931806518,0.02967466301692189,2,0.9405644180586199,0.9830203683026837
1. Cancer,CTGAN,Random Forest,Precision,TSTR,0.5773425885958766,0.02596342085199856,2,0.5587694761863178,0.5959157010054354
1. Cancer,CTGAN,Random Forest,Recall,TRTR,0.9357142857142857,0.0214285714285714,2,0.9203852091573927,0.9510433622711787
1. Cancer,CTGAN,Random Forest,Recall,TSTR,0.8571428571428571,0.05532833351724881,2,0.817563351664467,0.8967223626212472
1. Cancer,CTGAN,SVM-RBF,Accuracy,TRTR,0.9701754385964912,0.01889531511275264,2,0.9566585444397578,0.9836923327532247
1. Cancer,CTGAN,SVM-RBF,Accuracy,TSTR,0.7342105263157894,0.02387834664704595,2,0.7171289861382416,0.7512920664933372
1. Cancer,CTGAN,SVM-RBF,F1,TRTR,0.9583987428081452,0.02694607072359247,2,0.9391226850267731,0.9776748005895173
1. Cancer,CTGAN,SVM-RBF,F1,TSTR,0.7058459078385154,0.020234272079634,2,0.6913711815687021,0.7203206341083287
1. Cancer,CTGAN,SVM-RBF,Precision,TRTR,0.975500670827118,0.01929000486040976,2,0.9617014326336752,0.9892999090205608
1. Cancer,CTGAN,SVM-RBF,Precision,TSTR,0.5973837425749331,0.02711103869198211,2,0.5779896738181066,0.6167778113317596
1. Cancer,CTGAN,SVM-RBF,Recall,TRTR,0.9428571428571428,0.04416008807378907,2,0.9112669188845045,0.9744473668297812
1. Cancer,CTGAN,SVM-RBF,Recall,TSTR,0.8642857142857144,0.03021089890583218,2,0.8426741391173118,0.885897289454117
1. Cancer,CopulaGAN,AdaBoost,Accuracy,TRTR,0.9666666666666666,0.01022974016639526,2,0.9593487513921694,0.9739845819411638
1. Cancer,CopulaGAN,AdaBoost,Accuracy,TSTR,0.4815789473684211,0.1002804623522366,2,0.4098426260890449,0.5533152686477973
1. Cancer,CopulaGAN,AdaBoost,F1,TRTR,0.9537824074424763,0.01443243582836966,2,0.9434580648024186,0.9641067500825341
1. Cancer,CopulaGAN,AdaBoost,F1,TSTR,0.519801058330466,0.06901698133998511,2,0.4704292840984392,0.5691728325624927
1. Cancer,CopulaGAN,AdaBoost,Precision,TRTR,0.9735489892977129,0.02210918228480495,2,0.9577330330645226,0.9893649455309033
1. Cancer,CopulaGAN,AdaBoost,Precision,TSTR,0.40156576742601,0.06687363753559306,2,0.35372724898636243,0.4494042858656576
1. Cancer,CopulaGAN,AdaBoost,Recall,TRTR,0.9357142857142857,0.02827224306437598,2,0.9154895413904034,0.955939030038168
1. Cancer,CopulaGAN,AdaBoost,Recall,TSTR,0.7595238095238095,0.1252887820659321,2,0.6698976140300769,0.8491500050175421
