Dataset,Generator,LeakageLevel,PrivacyScore,PrivacyStd,N_Privacy_Metrics
Hungarian_Mahalanobis_Four_Models_AD,TVAE,0,0.7187129371563918,0.04333495859590225,6
Hungarian_Mahalanobis_WGAN_CTABGAN,CTABGAN,0,1.0,0.0,6
Hungarian_Mahalanobis_WGAN_CTABGAN,WGAN_GP,0,0.0,0.0,6
Hungarian_Mahalanobis_WGAN_TabDDPM,ForestDiffusion,0,1.0,0.0,6
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,0,0.0,0.0,6
Hungarian_Matchings_All_Models,CTABGAN,0,0.0,0.0,1
Hungarian_Matchings_All_Models,CTGAN,0,1.0,0.0,1
Hungarian_Matchings_All_Models,CopulaGAN,0,1.0,0.0,1
Hungarian_Matchings_All_Models,ForestDiffusion,0,0.12778020061055387,0.0,1
Hungarian_Matchings_All_Models,GaussianCopula,0,1.0,0.0,1
Hungarian_Matchings_All_Models,TVAE,0,1.0,0.0,1
Hungarian_Matchings_All_Models,TabDDPM,0,0.12778020061055387,0.0,1
Hungarian_Matchings_All_Models,WGAN_GP,0,0.0,0.0,1
Hungarian_Matchings_All_Models_AD,CTGAN,0,,,1
Hungarian_Matchings_All_Models_AD,CopulaGAN,0,,,1
Hungarian_Matchings_All_Models_AD,GaussianCopula,0,,,1
Hungarian_Matchings_All_Models_AD,TVAE,0,,,1
