Dataset,Dataset_Short,Generator,Mapping_Method,Metric,Available,Mean
3. Adult,Adult,CTGAN,Greedy,Cosine Similarity,False,
3. Adult,Adult,CTGAN,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,CTGAN,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,CTGAN,One-to-One Greedy,Mahalanobis Distance,True,1.768268
3. Adult,Adult,CTGAN,Hungarian,Cosine Similarity,True,0.9996423581191255
3. Adult,Adult,CTGAN,Hungarian,Mahalanobis Distance,True,0.312119816355832
3. Adult,Adult,CopulaGAN,Greedy,Cosine Similarity,False,
3. Adult,Adult,CopulaGAN,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,True,2.101094
3. Adult,Adult,CopulaGAN,Hungarian,Cosine Similarity,True,0.9964779684956977
3. Adult,Adult,CopulaGAN,Hungarian,Mahalanobis Distance,True,0.6750320130668681
3. Adult,Adult,TVAE,Greedy,Cosine Similarity,False,
3. Adult,Adult,TVAE,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,TVAE,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,TVAE,One-to-One Greedy,Mahalanobis Distance,True,2.491583
3. Adult,Adult,TVAE,Hungarian,Cosine Similarity,True,0.9994313165892008
3. Adult,Adult,TVAE,Hungarian,Mahalanobis Distance,True,0.1163703617203237
3. Adult,Adult,GaussianCopula,Greedy,Cosine Similarity,False,
3. Adult,Adult,GaussianCopula,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,True,5.795991
3. Adult,Adult,GaussianCopula,Hungarian,Cosine Similarity,True,0.9806849869684116
3. Adult,Adult,GaussianCopula,Hungarian,Mahalanobis Distance,True,2.484689273011973
3. Adult,Adult,WGAN_GP,Greedy,Cosine Similarity,False,
3. Adult,Adult,WGAN_GP,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,1.7954
3. Adult,Adult,WGAN_GP,Hungarian,Cosine Similarity,True,0.996304476661821
3. Adult,Adult,WGAN_GP,Hungarian,Mahalanobis Distance,True,1.647321943434293
3. Adult,Adult,CTABGAN,Greedy,Cosine Similarity,False,
3. Adult,Adult,CTABGAN,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,CTABGAN,One-to-One Greedy,Mahalanobis Distance,True,2.508
3. Adult,Adult,CTABGAN,Hungarian,Cosine Similarity,True,0.9998866616845967
3. Adult,Adult,CTABGAN,Hungarian,Mahalanobis Distance,True,2.428502572522146
3. Adult,Adult,TabDDPM,Greedy,Cosine Similarity,False,
3. Adult,Adult,TabDDPM,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,TabDDPM,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,TabDDPM,One-to-One Greedy,Mahalanobis Distance,True,11.842
3. Adult,Adult,TabDDPM,Hungarian,Cosine Similarity,True,0.7988756851244702
3. Adult,Adult,TabDDPM,Hungarian,Mahalanobis Distance,True,11.73058872994562
3. Adult,Adult,ForestDiffusion,Greedy,Cosine Similarity,False,
3. Adult,Adult,ForestDiffusion,Greedy,Mahalanobis Distance,False,
3. Adult,Adult,ForestDiffusion,One-to-One Greedy,Cosine Similarity,False,
3. Adult,Adult,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,True,0.8831
3. Adult,Adult,ForestDiffusion,Hungarian,Cosine Similarity,True,0.9997905968172516
3. Adult,Adult,ForestDiffusion,Hungarian,Mahalanobis Distance,True,0.7604998920067207
4. Forest cover dataset,ForestCover,CTGAN,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,CTGAN,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,CTGAN,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,CTGAN,One-to-One Greedy,Mahalanobis Distance,True,387.984
4. Forest cover dataset,ForestCover,CTGAN,Hungarian,Cosine Similarity,True,0.976664
4. Forest cover dataset,ForestCover,CTGAN,Hungarian,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,CopulaGAN,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,CopulaGAN,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,True,391.878
4. Forest cover dataset,ForestCover,CopulaGAN,Hungarian,Cosine Similarity,True,0.954908
4. Forest cover dataset,ForestCover,CopulaGAN,Hungarian,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,TVAE,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,TVAE,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,TVAE,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,TVAE,One-to-One Greedy,Mahalanobis Distance,True,191.5824
4. Forest cover dataset,ForestCover,TVAE,Hungarian,Cosine Similarity,True,0.985911
4. Forest cover dataset,ForestCover,TVAE,Hungarian,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,GaussianCopula,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,GaussianCopula,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,True,283.6519
4. Forest cover dataset,ForestCover,GaussianCopula,Hungarian,Cosine Similarity,True,0.997299
4. Forest cover dataset,ForestCover,GaussianCopula,Hungarian,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,WGAN_GP,Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,WGAN_GP,Greedy,Mahalanobis Distance,False,
4. Forest cover dataset,ForestCover,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
4. Forest cover dataset,ForestCover,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,485.347
4. Forest cover dataset,ForestCover,WGAN_GP,Hungarian,Cosine Similarity,True,0.997355
