Dataset,Generator,metric_category,metric_name,seed_42,seed_123,seed_2024,seed_68,seed_91,seed_2025,seed_55,seed_155,seed_255,seed_355,mean,sd,n_seeds
MAGIC Gamma,TVAE,Utility,Recall_TRTR,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.8335348755695758,0.0,10
MAGIC Gamma,TVAE,Utility,Recall_TSTR,0.7847967052225727,0.7760515247108307,0.7796705222572731,0.7186996144409394,0.7781633368384158,0.7483000350508234,0.7864791447599019,0.7816246056782333,0.7794602173151068,0.7884332281808623,0.772167893445496,0.021876715692052007,10
MAGIC Gamma,TabDDPM,Compute,evaluation_time_seconds,81.77742195199244,82.75412441580556,83.35581760690548,129.9709144940134,149.0660350311082,147.7612384089734,99.59080447100132,356.3067444100016,362.3070078679957,86.42935803699947,157.93194666947966,109.34894081099849,10
MAGIC Gamma,TabDDPM,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
MAGIC Gamma,TabDDPM,Compute,total_time_seconds,87.83062992012128,88.63426414690912,89.30449554207735,139.4534249908756,157.827900809003,157.9615291180089,111.5909836029969,386.9899349600018,389.4945710489992,94.70866211800605,170.37963962569992,118.06381838397571,10
MAGIC Gamma,TabDDPM,Compute,training_time_seconds,6.026567607885227,5.863041928969324,5.931153740966693,9.4266003461089,8.7077780070249,10.10465266299434,11.95282248400326,30.29461527500098,27.08837486900302,8.220625732996268,12.361623265495291,8.860390527740105,10
MAGIC Gamma,TabDDPM,Fidelity,KS_Complement,0.9312350157728708,0.9571906414300736,0.9372920084121976,0.9615874868559412,0.9560414826498423,0.9353445846477392,0.935885436382755,0.9625283385909568,0.9387926919032598,0.9447827549947424,0.9460680441640378,0.012042860393074225,10
MAGIC Gamma,TabDDPM,Fidelity,MMD,0.0159889944650343,0.0094708522942119,0.0091580753904785,0.0059087242581583,0.0085313401645514,0.0084666533212661,0.0068224216660076,0.0112016796133509,0.0070053735286661,0.0047892815089397,0.00873433962106648,0.0031577944289535005,10
MAGIC Gamma,TabDDPM,Fidelity,Quality_Score,0.9340538947719812,0.9485336607439444,0.9379969253895172,0.9490322961120544,0.944825761679628,0.9319714728557916,0.932273963542422,0.9401291139185196,0.9374534236812172,0.937054898268694,0.9393325410963771,0.006253278330807423,10
MAGIC Gamma,TabDDPM,Fidelity,Wasserstein_Distance,11.43048950476204,7.229593412565552,8.937494411274207,5.559228617926082,6.797354462052819,8.96209649508668,10.47001975235266,5.893800160081305,10.91710853371903,10.1126476091496,8.630983295896998,2.136937306894717,10
MAGIC Gamma,TabDDPM,Privacy,MIA_AUC,0.5679012345679012,0.5628395061728395,0.4897530864197531,0.5154320987654321,0.5162962962962963,0.5576543209876543,0.5917283950617285,0.5435802469135802,0.4655555555555556,0.5455555555555556,0.5356296296296297,0.03854647959845618,10
MAGIC Gamma,TabDDPM,Privacy,Mahalanobis_Distance,4.000109661918424,3.771823660451691,4.00196375103555,3.486613761915949,3.763526264575575,4.003691192948133,4.087487212796531,3.514066176948271,4.216032790450894,4.012369119304961,3.8857683592345986,0.24305631928743104,10
