Dataset,Generator,Classifier,Leakage,Mean,Std,N,TRTR_Mean,TRTR_Std,Utility_Loss,Utility_Drop_Pct
1. Cancer,CopulaGAN,Gradient Boosting,0,0.3894736842105263,0.0709605207584445,2,0.9631578947368421,0.0203084857943688,0.5736842105263158,59.56284153005465
1. Cancer,CopulaGAN,KNN,0,0.343859649122807,0.04974542764476429,2,0.962280701754386,0.01883413206454726,0.618421052631579,64.26618049225159
1. Cancer,CopulaGAN,Logistic Regression,0,0.2631578947368421,0.03088915238887546,2,0.9789473684210526,0.009768007654087744,0.7157894736842105,73.11827956989248
1. Cancer,CopulaGAN,MLP,0,0.243859649122807,0.06666666666666668,2,0.974561403508772,0.01327433855300136,0.730701754385965,74.97749774977498
1. Cancer,CopulaGAN,Naive Bayes,0,0.3447368421052631,0.03923906885323691,2,0.9324561403508772,0.02322491630679601,0.5877192982456141,63.029162746942625
1. Cancer,CopulaGAN,Random Forest,0,0.4342105263157895,0.06567241047103436,2,0.962280701754386,0.0136176971019825,0.5280701754385965,54.87693710118504
1. Cancer,CopulaGAN,SVM-RBF,0,0.256140350877193,0.04503683387015241,2,0.9701754385964912,0.01889531511275264,0.7140350877192982,73.59855334538878
1. Cancer,ForestDiffusion,AdaBoost,0,0.9771929824561403,0.01370219241387132,2,0.9666666666666666,0.01022974016639526,-0.010526315789473717,-1.0889292196007294
1. Cancer,ForestDiffusion,Decision Tree,0,0.9184210526315789,0.02355389751245184,2,0.9350877192982457,0.02045948033279054,0.01666666666666683,1.7823639774859459
1. Cancer,ForestDiffusion,Extra Trees,0,0.968421052631579,0.02007986516185893,2,0.9701754385964912,0.01189882453179872,0.0017543859649122862,0.1808318264014472
1. Cancer,ForestDiffusion,Gradient Boosting,0,0.9728070175438598,0.01491228070175439,2,0.9631578947368421,0.0203084857943688,-0.009649122807017685,-1.001821493624787
1. Cancer,ForestDiffusion,KNN,0,0.9526315789473683,0.01848360307518024,2,0.962280701754386,0.01883413206454726,0.009649122807017685,1.0027347310847914
1. Cancer,ForestDiffusion,Logistic Regression,0,0.9824561403508772,0.01109571108831009,2,0.9789473684210526,0.009768007654087744,-0.0035087719298246833,-0.35842293906811284
1. Cancer,ForestDiffusion,MLP,0,0.9710526315789473,0.009649122807017537,2,0.974561403508772,0.01327433855300136,0.0035087719298246833,0.3600360036003725
1. Cancer,ForestDiffusion,Naive Bayes,0,0.9280701754385966,0.02105263157894736,2,0.9324561403508772,0.02322491630679601,0.004385964912280604,0.4703668861712031
1. Cancer,ForestDiffusion,Random Forest,0,0.9692982456140351,0.0212164677586804,2,0.962280701754386,0.0136176971019825,-0.007017543859649145,-0.7292616226071126
1. Cancer,ForestDiffusion,SVM-RBF,0,0.976315789473684,0.01417148633456448,2,0.968421052631579,0.01806250901927543,-0.007894736842105066,-0.8152173913043275
1. Cancer,GaussianCopula,AdaBoost,0,0.9096491228070175,0.02419844600725213,2,0.9666666666666666,0.01022974016639526,0.05701754385964908,5.898366606170595
1. Cancer,GaussianCopula,Decision Tree,0,0.7201754385964912,0.05470337483392584,2,0.9350877192982457,0.02045948033279054,0.2149122807017545,22.98311444652909
1. Cancer,GaussianCopula,Extra Trees,0,0.8903508771929823,0.02579901959623288,2,0.9701754385964912,0.01189882453179872,0.07982456140350891,8.227848101265836
1. Cancer,GaussianCopula,Gradient Boosting,0,0.887719298245614,0.02796031131668285,2,0.9631578947368421,0.0203084857943688,0.07543859649122808,7.8324225865209485
1. Cancer,GaussianCopula,KNN,0,0.8403508771929824,0.02246710258748367,2,0.962280701754386,0.01883413206454726,0.12192982456140355,12.670920692798548
1. Cancer,GaussianCopula,Logistic Regression,0,0.9078947368421053,0.03019634118957632,2,0.9789473684210526,0.009768007654087744,0.07105263157894726,7.258064516129021
1. Cancer,GaussianCopula,MLP,0,0.7701754385964913,0.0527484083451681,2,0.974561403508772,0.01327433855300136,0.20438596491228067,20.97209720972097
1. Cancer,GaussianCopula,Naive Bayes,0,0.9087719298245615,0.01312862240973313,2,0.9324561403508772,0.02322491630679601,0.023684210526315752,2.539981185324549
1. Cancer,GaussianCopula,Random Forest,0,0.893859649122807,0.03075183884729492,2,0.962280701754386,0.0136176971019825,0.06842105263157894,7.110300820419324
1. Cancer,GaussianCopula,SVM-RBF,0,0.8754385964912281,0.02246710258748367,2,0.9701754385964912,0.01889531511275264,0.09473684210526312,9.764918625678115
1. Cancer,TVAE,AdaBoost,0,0.9342105263157894,0.02426195909813917,2,0.9666666666666666,0.01022974016639526,0.03245614035087718,3.357531760435571
1. Cancer,TVAE,Decision Tree,0,0.8850877192982457,0.03339099352749871,2,0.9350877192982457,0.02045948033279054,0.050000000000000044,5.34709193245779
1. Cancer,TVAE,Extra Trees,0,0.9421052631578949,0.01189882453179871,2,0.9701754385964912,0.01189882453179872,0.028070175438596356,2.8933092224231327
1. Cancer,TVAE,Gradient Boosting,0,0.9280701754385966,0.02141500985216438,2,0.9631578947368421,0.0203084857943688,0.0350877192982455,3.642987249544615
1. Cancer,TVAE,KNN,0,0.9192982456140351,0.01559332353915015,2,0.962280701754386,0.01883413206454726,0.0429824561403509,4.466727438468553
1. Cancer,TVAE,Logistic Regression,0,0.9508771929824562,0.01626950613244861,2,0.9789473684210526,0.009768007654087744,0.028070175438596356,2.867383512544789
1. Cancer,TVAE,MLP,0,0.9394736842105263,0.01491228070175438,2,0.974561403508772,0.01327433855300136,0.03508771929824561,3.6003600360036
1. Cancer,TVAE,Naive Bayes,0,0.9201754385964911,0.01774013018961113,2,0.9324561403508772,0.02322491630679601,0.012280701754386114,1.317027281279414
1. Cancer,TVAE,Random Forest,0,0.9403508771929825,0.02411881944713603,2,0.962280701754386,0.0136176971019825,0.021929824561403466,2.278942570647215
