Dataset,Generator,Classifier,Leakage,Mean,Std,N
2. Alzhimers,CTGAN,Naive Bayes,0,0.6580055041804127,0.04894302249848271,2
2. Alzhimers,CTGAN,Random Forest,0,0.5683273760998825,0.04346978501268418,2
2. Alzhimers,CTGAN,SVM-RBF,0,0.5914810365885449,0.04699860809766474,2
2. Alzhimers,CopulaGAN,AdaBoost,0,0.4812178323076247,0.04329092332191146,2
2. Alzhimers,CopulaGAN,Decision Tree,0,0.4891037528957459,0.08868861812940061,2
2. Alzhimers,CopulaGAN,Extra Trees,0,0.4170852143564671,0.08798169350562628,2
2. Alzhimers,CopulaGAN,Gradient Boosting,0,0.4009069130741886,0.0738026969300324,2
2. Alzhimers,CopulaGAN,KNN,0,0.4012607333549646,0.04886656977313934,2
2. Alzhimers,CopulaGAN,Logistic Regression,0,0.4730871532996216,0.09605917343645379,2
2. Alzhimers,CopulaGAN,MLP,0,0.4305896688373004,0.06167246974672823,2
2. Alzhimers,CopulaGAN,Naive Bayes,0,0.535965567057292,0.05853616294127745,2
2. Alzhimers,CopulaGAN,Random Forest,0,0.4244178025348234,0.1055518634617852,2
2. Alzhimers,CopulaGAN,SVM-RBF,0,0.4024044330961626,0.06904927422471265,2
2. Alzhimers,ForestDiffusion,AdaBoost,0,0.9597232349628644,0.01496877976938839,2
2. Alzhimers,ForestDiffusion,Decision Tree,0,0.9170030677621485,0.02635851876379843,2
2. Alzhimers,ForestDiffusion,Extra Trees,0,0.9639988000734674,0.01427518868765128,2
2. Alzhimers,ForestDiffusion,Gradient Boosting,0,0.9594184718330967,0.01859936423559992,2
2. Alzhimers,ForestDiffusion,KNN,0,0.942560698600406,0.03419752504743662,2
2. Alzhimers,ForestDiffusion,Logistic Regression,0,0.9549442804586885,0.02156270877056382,2
2. Alzhimers,ForestDiffusion,MLP,0,0.9614029655741019,0.02119837818684929,2
2. Alzhimers,ForestDiffusion,Naive Bayes,0,0.9488340101644223,0.02099408233403052,2
2. Alzhimers,ForestDiffusion,Random Forest,0,0.9593753143373979,0.01982438504397334,2
2. Alzhimers,ForestDiffusion,SVM-RBF,0,0.9549442804586885,0.02156270877056382,2
2. Alzhimers,GaussianCopula,AdaBoost,0,0.8771335511335512,0.03307841944123231,2
2. Alzhimers,GaussianCopula,Decision Tree,0,0.6055146189323861,0.05776509116063189,2
2. Alzhimers,GaussianCopula,Extra Trees,0,0.877625126236244,0.03018335958778251,2
2. Alzhimers,GaussianCopula,Gradient Boosting,0,0.7969033287880045,0.05158883319152006,2
2. Alzhimers,GaussianCopula,KNN,0,0.7977322383839607,0.03004924157987755,2
2. Alzhimers,GaussianCopula,Logistic Regression,0,0.8954698490950486,0.01961077446156961,2
2. Alzhimers,GaussianCopula,MLP,0,0.8070744000387196,0.04107764090525173,2
2. Alzhimers,GaussianCopula,Naive Bayes,0,0.9203112618375775,0.02345086984479022,2
2. Alzhimers,GaussianCopula,Random Forest,0,0.8510964957569349,0.04285987819193272,2
2. Alzhimers,GaussianCopula,SVM-RBF,0,0.8790627124258128,0.02922796226953373,2
2. Alzhimers,TVAE,AdaBoost,0,0.8997196557534111,0.02308319742925766,2
2. Alzhimers,TVAE,Decision Tree,0,0.8201385981057877,0.03250712127605003,2
2. Alzhimers,TVAE,Extra Trees,0,0.8869836938274644,0.03289804098446848,2
2. Alzhimers,TVAE,Gradient Boosting,0,0.8562757138119904,0.03470695572332681,2
2. Alzhimers,TVAE,KNN,0,0.8717334480905434,0.0436548631778286,2
2. Alzhimers,TVAE,Logistic Regression,0,0.9033631740689867,0.02259317599878628,2
2. Alzhimers,TVAE,MLP,0,0.8488984433288232,0.04490818990437165,2
2. Alzhimers,TVAE,Naive Bayes,0,0.947536712867125,0.01983097307557147,2
2. Alzhimers,TVAE,Random Forest,0,0.8532550026712041,0.0338595887331403,2
2. Alzhimers,TVAE,SVM-RBF,0,0.905662369579345,0.02047353548898972,2
2. Alzhimers,TabDDPM,AdaBoost,0,0.4952854919834154,0.09531935715656055,2
2. Alzhimers,TabDDPM,Decision Tree,0,0.4917474116830446,0.04548098950173056,2
2. Alzhimers,TabDDPM,Extra Trees,0,0.4142813933258118,0.09950847439886906,2
2. Alzhimers,TabDDPM,Gradient Boosting,0,0.4665383026983773,0.06688598596345967,2
2. Alzhimers,TabDDPM,KNN,0,0.4672312094126575,0.04261969382271548,2
2. Alzhimers,TabDDPM,Logistic Regression,0,0.1648229171579141,0.09403041091051378,2
2. Alzhimers,TabDDPM,MLP,0,0.381188188267436,0.06749667957709082,2
2. Alzhimers,TabDDPM,Naive Bayes,0,0.281880441520921,0.1272531044224129,2
2. Alzhimers,TabDDPM,Random Forest,0,0.4338927624648122,0.06325484813902747,2
2. Alzhimers,TabDDPM,SVM-RBF,0,0.1652858413018168,0.08803906963005416,2
2. Alzhimers,WGAN_GP,AdaBoost,0,0.8784596664430225,0.06591235993980626,2
2. Alzhimers,WGAN_GP,Decision Tree,0,0.8088564856210498,0.09238879808320023,2
2. Alzhimers,WGAN_GP,Extra Trees,0,0.8948856353398144,0.03608069298938422,2
2. Alzhimers,WGAN_GP,Gradient Boosting,0,0.85604913657761,0.06820758040513632,2
2. Alzhimers,WGAN_GP,KNN,0,0.8075857313366079,0.02744750028883062,2
2. Alzhimers,WGAN_GP,Logistic Regression,0,0.8741456172457713,0.05374740869444842,2
2. Alzhimers,WGAN_GP,MLP,0,0.8599857293175708,0.04270741335963237,2
2. Alzhimers,WGAN_GP,Naive Bayes,0,0.8400201868224917,0.04749418236059465,2
2. Alzhimers,WGAN_GP,Random Forest,0,0.9096078812917211,0.04010208482102063,2
2. Alzhimers,WGAN_GP,SVM-RBF,0,0.8626950241713885,0.05817174319068905,2
3. Adult,CTABGAN,AdaBoost,0,0.6961699366284367,0.03615478526543887,2
3. Adult,CTABGAN,Decision Tree,0,0.5199011437780793,0.1089732237328283,2
3. Adult,CTABGAN,Extra Trees,0,0.614634715703464,0.03626440010529419,2
3. Adult,CTABGAN,Gradient Boosting,0,0.2161749273300173,0.1686323682381256,2
3. Adult,CTABGAN,KNN,0,0.5735730770211602,0.04189032530164932,2
3. Adult,CTABGAN,Logistic Regression,0,0.6792270257044539,0.005964965435826891,2
3. Adult,CTABGAN,MLP,0,0.5747243661498704,0.04444876691746765,2
3. Adult,CTABGAN,Naive Bayes,0,0.6894713954869172,0.03646478179955183,2
3. Adult,CTABGAN,Random Forest,0,0.4903109289132959,0.1094218255344435,2
3. Adult,CTABGAN,SVM-RBF,0,0.6664461383088471,0.01752812564441936,2
3. Adult,CTGAN,AdaBoost,0,0.6767605633802816,0.0,2
3. Adult,CTGAN,Decision Tree,0,0.4955059343017433,0.05078751298254856,2
3. Adult,CTGAN,Extra Trees,0,0.650475074696722,0.01573945262584563,2
3. Adult,CTGAN,Gradient Boosting,0,0.669460917721575,0.007018283576359978,2
3. Adult,CTGAN,KNN,0,0.6218708950317688,0.02864187703133056,2
3. Adult,CTGAN,Logistic Regression,0,0.6767605633802816,0.0,2
3. Adult,CTGAN,MLP,0,0.6303010295137488,0.02836652873774047,2
3. Adult,CTGAN,Naive Bayes,0,0.6703490856546325,0.01996279622118603,2
3. Adult,CTGAN,Random Forest,0,0.6548972907516066,0.01939686431566386,2
3. Adult,CTGAN,SVM-RBF,0,0.6765138855733269,0.0007800637181922404,2
3. Adult,CopulaGAN,AdaBoost,0,0.6769209194224951,0.003521803840977655,2
3. Adult,CopulaGAN,Decision Tree,0,0.4901652986595783,0.03292898173352029,2
3. Adult,CopulaGAN,Extra Trees,0,0.6391106974743808,0.02356547339726482,2
3. Adult,CopulaGAN,Gradient Boosting,0,0.6695375527658614,0.01892136424378165,2
3. Adult,CopulaGAN,KNN,0,0.6031383325650281,0.02776325223162928,2
3. Adult,CopulaGAN,Logistic Regression,0,0.6765138855733269,0.0007800637181922404,2
3. Adult,CopulaGAN,MLP,0,0.6374225164733678,0.02604067936496785,2
3. Adult,CopulaGAN,Naive Bayes,0,0.6474622377653941,0.03416885949946781,2
3. Adult,CopulaGAN,Random Forest,0,0.6509114664252031,0.01312104964389982,2
3. Adult,CopulaGAN,SVM-RBF,0,0.6791890386806553,0.007901746785861002,2
3. Adult,ForestDiffusion,AdaBoost,0,0.7495993986021727,0.02904182696431352,2
3. Adult,ForestDiffusion,Decision Tree,0,0.6618426726971874,0.03707232762900146,2
3. Adult,ForestDiffusion,Extra Trees,0,0.7398815798072279,0.02149208500894103,2
3. Adult,ForestDiffusion,Gradient Boosting,0,0.7931164357496072,0.03472767570107376,2
3. Adult,ForestDiffusion,KNN,0,0.7079182364756985,0.01875433200562023,2
3. Adult,ForestDiffusion,Logistic Regression,0,0.7425816669128837,0.0226289966124321,2
3. Adult,ForestDiffusion,MLP,0,0.7272345527266039,0.03311353328519049,2
3. Adult,ForestDiffusion,Naive Bayes,0,0.7665686732006363,0.02814661533497105,2
3. Adult,ForestDiffusion,Random Forest,0,0.7644637239952305,0.01887158862533338,2
3. Adult,ForestDiffusion,SVM-RBF,0,0.7382835601759095,0.02057169283043969,2
3. Adult,GaussianCopula,AdaBoost,0,0.6757963959255276,0.002315837854289448,2
3. Adult,GaussianCopula,Decision Tree,0,0.4904641137533871,0.0678739430344425,2
3. Adult,GaussianCopula,Extra Trees,0,0.6494015932767833,0.01579331555033867,2
3. Adult,GaussianCopula,Gradient Boosting,0,0.6186404945769445,0.0649822846446461,2
3. Adult,GaussianCopula,KNN,0,0.6148309831343735,0.02949258910103613,2
3. Adult,GaussianCopula,Logistic Regression,0,0.6765138855733268,0.0007800637181922405,2
3. Adult,GaussianCopula,MLP,0,0.5979860104229818,0.03813680956562718,2
3. Adult,GaussianCopula,Naive Bayes,0,0.6096710498335544,0.01969023207310924,2
3. Adult,GaussianCopula,Random Forest,0,0.6537007090856258,0.01087062882900664,2
3. Adult,GaussianCopula,SVM-RBF,0,0.6732916407023293,0.003354883984813174,2
3. Adult,TVAE,AdaBoost,0,0.6783926104982184,0.00845278779508926,2
3. Adult,TVAE,Decision Tree,0,0.6582782022598077,0.01311496597105887,2
3. Adult,TVAE,Extra Trees,0,0.6811470195358533,0.01116736651660929,2
3. Adult,TVAE,Gradient Boosting,0,0.6764529602983478,0.01130620658476037,2
3. Adult,TVAE,KNN,0,0.6588833526290323,0.01690228536932186,2
3. Adult,TVAE,Logistic Regression,0,0.6644550004061377,0.01447295796749301,2
