Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,TaskType,Category,MetricValue,SourceFile
1. Cancer,CTGAN,,utility,Recall,0.9428571428571428,0.9428571428571428,0.04416008807378907,SVM-RBF,,,0,0.0,100,TRTR,classification,Utility,0.9428571428571428,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.8642857142857144,0.8642857142857144,0.03021089890583218,SVM-RBF,,,0,0.0,100,TSTR,classification,Utility,0.8642857142857144,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.2359649122807018,0.2359649122807018,,SVM-RBF,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.2525528349696298,0.2525528349696298,,SVM-RBF,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.3781169282521849,0.3781169282521849,,SVM-RBF,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,0.0785714285714284,0.0785714285714284,,SVM-RBF,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.9701754385964912,0.9701754385964912,0.01189882453179872,Extra Trees,,,0,0.0,100,TRTR,classification,Utility,0.9701754385964912,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.7035087719298245,0.7035087719298245,0.02712214883112335,Extra Trees,,,0,0.0,100,TSTR,classification,Utility,0.7035087719298245,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.2666666666666667,0.2666666666666667,0.02712214883112335,Extra Trees,,,0,0.0,100,Gap,classification,Utility,0.7035087719298245,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.9589899381997989,0.9589899381997989,0.01652286372603384,Extra Trees,,,0,0.0,100,TRTR,classification,Utility,0.9589899381997989,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
