dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds,task
Adult,CTGAN,Utility,Recall_TSTR,0.7975500000000001,0.7926000000000001,0.7927833333333333,0.7943111111111111,0.002806457500783494,0.794311 ± 0.00280646,3,classification
Adult,CopulaGAN,Utility,Accuracy_Gap,0.0478833333333335,0.040266666666667,0.0384166666666668,0.0421888888888891,0.005017534070452133,0.0421889 ± 0.00501753,3,classification
Adult,CopulaGAN,Utility,Accuracy_TRTR,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.0,0.8237 ± 0,3,classification
Adult,CopulaGAN,Utility,Accuracy_TSTR,0.7758166666666667,0.7834333333333332,0.7852833333333333,0.7815111111111112,0.005017534070452103,0.781511 ± 0.00501753,3,classification
Adult,CopulaGAN,Utility,F1_Gap,0.0470498864771308,0.0382650821116606,0.0489619024693815,0.04475895701939097,0.005704538524420108,0.044759 ± 0.00570454,3,classification
Adult,CopulaGAN,Utility,F1_TRTR,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152697,1.3597399555105182e-16,0.817902 ± 1.35974e-16,3,classification
Adult,CopulaGAN,Utility,F1_TSTR,0.770851892338139,0.7796366967036091,0.7689398763458882,0.7731428217958788,0.005704538524420098,0.773143 ± 0.00570454,3,classification
Adult,CopulaGAN,Utility,Precision_Gap,0.0425037593183144,0.0364711114707345,0.0472426970641971,0.042072522617748666,0.0053987255781581325,0.0420725 ± 0.00539873,3,classification
Adult,CopulaGAN,Utility,Precision_TRTR,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.0,0.819985 ± 0,3,classification
Adult,CopulaGAN,Utility,Precision_TSTR,0.7774816301429456,0.7835142779905254,0.7727426923970628,0.7779128668435114,0.005398725578158124,0.777913 ± 0.00539873,3,classification
Adult,CopulaGAN,Utility,ROC_AUC_Gap,0.049058394699293,0.0449878088115505,0.0554803401141124,0.04984218120831863,0.005289994730867726,0.0498422 ± 0.00528999,3,classification
Adult,CopulaGAN,Utility,ROC_AUC_TRTR,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.0,0.829788 ± 0,3,classification
Adult,CopulaGAN,Utility,ROC_AUC_TSTR,0.7807291296511935,0.784799715538936,0.7743071842363741,0.7799453431421678,0.005289994730867714,0.779945 ± 0.00528999,3,classification
Adult,CopulaGAN,Utility,Recall_Gap,0.0478833333333335,0.040266666666667,0.0384166666666668,0.0421888888888891,0.005017534070452133,0.0421889 ± 0.00501753,3,classification
Adult,CopulaGAN,Utility,Recall_TRTR,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.0,0.8237 ± 0,3,classification
Adult,CopulaGAN,Utility,Recall_TSTR,0.7758166666666667,0.7834333333333332,0.7852833333333333,0.7815111111111112,0.005017534070452103,0.781511 ± 0.00501753,3,classification
Adult,ForestDiffusion,Utility,Accuracy_Gap,0.0273166666666668,0.0086333333333336,0.0150833333333334,0.017011111111111265,0.009489677627900777,0.0170111 ± 0.00948968,3,classification
Adult,ForestDiffusion,Utility,Accuracy_TRTR,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.0,0.8237 ± 0,3,classification
Adult,ForestDiffusion,Utility,Accuracy_TSTR,0.7963833333333333,0.8150666666666666,0.8086166666666668,0.806688888888889,0.009489677627900811,0.806689 ± 0.00948968,3,classification
Adult,ForestDiffusion,Utility,F1_Gap,0.0483830237842035,0.0150971075210962,0.0264404700013501,0.02997353376888327,0.016921878148058494,0.0299735 ± 0.0169219,3,classification
Adult,ForestDiffusion,Utility,F1_TRTR,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152697,1.3597399555105182e-16,0.817902 ± 1.35974e-16,3,classification
Adult,ForestDiffusion,Utility,F1_TSTR,0.7695187550310663,0.8028046712941735,0.7914613088139196,0.7879282450463866,0.01692187814805848,0.787928 ± 0.0169219,3,classification
Adult,ForestDiffusion,Utility,Precision_Gap,0.0385978818761514,0.016117500073347,0.0202827315822992,0.02499937117726587,0.011959385782788776,0.0249994 ± 0.0119594,3,classification
Adult,ForestDiffusion,Utility,Precision_TRTR,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.0,0.819985 ± 0,3,classification
Adult,ForestDiffusion,Utility,Precision_TSTR,0.7813875075851086,0.803867889387913,0.7997026578789608,0.7949860182839942,0.011959385782788792,0.794986 ± 0.0119594,3,classification
Adult,ForestDiffusion,Utility,ROC_AUC_Gap,0.0500615254110652,0.0196910472212653,0.0182925001412282,0.029348357591186234,0.017951754074034723,0.0293484 ± 0.0179518,3,classification
Adult,ForestDiffusion,Utility,ROC_AUC_TRTR,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.0,0.829788 ± 0,3,classification
Adult,ForestDiffusion,Utility,ROC_AUC_TSTR,0.7797259989394213,0.8100964771292212,0.8114950242092582,0.8004391667593002,0.0179517540740347,0.800439 ± 0.0179518,3,classification
