Dataset,Generator,Seed,LeakageLevel,Metric,MetricValue,Classifier,Regressor,Category,EvaluationType,Mean,Std,TaskType,SourceFile,Experiment,Value,RegressionModel,Leakage,TrainingPercentage
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.5327950724155153,Decision Tree,,Utility,Gap,0.41028799733644084,0.02746041131158687,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.41028799733644084,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.9486269064274188,Decision Tree,,Utility,TRTR,0.9486269064274188,0.002733229331666377,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9486269064274188,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.568184891946037,Decision Tree,,Utility,TSTR,0.568184891946037,0.04262160243926748,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.568184891946037,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.568184891946037,Decision Tree,,Utility,Gap,0.3804420144813817,0.04262160243926748,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3804420144813817,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.9503557108620792,Decision Tree,,Utility,TRTR,0.9503557108620792,0.004797011192999022,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9503557108620792,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.5820049922204459,Decision Tree,,Utility,TSTR,0.5820049922204459,0.02215235072434856,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5820049922204459,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.5820049922204459,Decision Tree,,Utility,Gap,0.36835071864163327,0.02215235072434856,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.36835071864163327,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.9469326533673316,Decision Tree,,Utility,TRTR,0.9469326533673316,0.004340358980694475,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9469326533673316,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.5584370781460927,Decision Tree,,Utility,TSTR,0.5584370781460927,0.0692517973186782,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5584370781460927,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.5584370781460927,Decision Tree,,Utility,Gap,0.3884955752212389,0.0692517973186782,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3884955752212389,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,Decision Tree,,,Gap,0.4102879973364408,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4102879973364408,,0.0,100.0
8. Mushroom dataset,CTGAN,,,F1_Drop,,Decision Tree,,,Gap,0.3804420144813817,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3804420144813817,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Precision_Drop,,Decision Tree,,,Gap,0.3683507186416333,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3683507186416333,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Recall_Drop,,Decision Tree,,,Gap,0.3884955752212389,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3884955752212389,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.8177376394206759,Gradient Boosting,,Utility,TRTR,0.8177376394206759,0.009463270545125387,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.8177376394206759,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.5635508573331114,Gradient Boosting,,Utility,TSTR,0.5635508573331114,0.01652054540663991,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5635508573331114,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.5635508573331114,Gradient Boosting,,Utility,Gap,0.2541867820875645,0.01652054540663991,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.2541867820875645,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.8351441635674031,Gradient Boosting,,Utility,TRTR,0.8351441635674031,0.009911515687219402,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.8351441635674031,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.6165143642116927,Gradient Boosting,,Utility,TSTR,0.6165143642116927,0.02135967258695158,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.6165143642116927,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.6165143642116927,Gradient Boosting,,Utility,Gap,0.21862979935571036,0.02135967258695158,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.21862979935571036,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.8380774142407716,Gradient Boosting,,Utility,TRTR,0.8380774142407716,0.007023800154772467,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.8380774142407716,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.6017372641286849,Gradient Boosting,,Utility,TSTR,0.6017372641286849,0.01572434021226366,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.6017372641286849,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.6017372641286849,Gradient Boosting,,Utility,Gap,0.23634015011208676,0.01572434021226366,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.23634015011208676,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.8324883755812209,Gradient Boosting,,Utility,TRTR,0.8324883755812209,0.01907263019534354,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.8324883755812209,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.6337783110844459,Gradient Boosting,,Utility,TSTR,0.6337783110844459,0.04303034666717832,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.6337783110844459,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.6337783110844459,Gradient Boosting,,Utility,Gap,0.19871006449677497,0.04303034666717832,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.19871006449677497,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,Gradient Boosting,,,Gap,0.2541867820875645,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.2541867820875645,,0.0,100.0
8. Mushroom dataset,CTGAN,,,F1_Drop,,Gradient Boosting,,,Gap,0.2186297993557104,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.2186297993557104,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Precision_Drop,,Gradient Boosting,,,Gap,0.2363401501120868,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.2363401501120868,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Recall_Drop,,Gradient Boosting,,,Gap,0.198710064496775,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.198710064496775,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.6532711836191111,Logistic Regression,,Utility,TRTR,0.6532711836191111,0.003432765231763527,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.6532711836191111,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.5579240885633427,Logistic Regression,,Utility,TSTR,0.5579240885633427,0.01263883619990623,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5579240885633427,,0.0,100.0
