Dataset,Generator,Classifier,Leakage,Mean,Std,N
2. Alzhimers,CopulaGAN,AdaBoost,0,0.5693333333333334,0.02862788073811183,2
2. Alzhimers,CopulaGAN,Decision Tree,0,0.5426666666666666,0.06587530307752335,2
2. Alzhimers,CopulaGAN,Extra Trees,0,0.5186666666666666,0.05348312298701756,2
2. Alzhimers,CopulaGAN,Gradient Boosting,0,0.5426666666666666,0.0231324687638633,2
2. Alzhimers,CopulaGAN,KNN,0,0.4613333333333333,0.04509742540076737,2
2. Alzhimers,CopulaGAN,Logistic Regression,0,0.5973333333333335,0.05458530530788991,2
2. Alzhimers,CopulaGAN,MLP,0,0.484,0.05401234426807759,2
2. Alzhimers,CopulaGAN,Naive Bayes,0,0.6346666666666667,0.03919183588453085,2
2. Alzhimers,CopulaGAN,Random Forest,0,0.5613333333333335,0.0612318000170935,2
2. Alzhimers,CopulaGAN,SVM-RBF,0,0.5146666666666667,0.05031456603763521,2
2. Alzhimers,ForestDiffusion,AdaBoost,0,0.9613333333333334,0.01392040867854741,2
2. Alzhimers,ForestDiffusion,Decision Tree,0,0.9186666666666667,0.02490872225635921,2
2. Alzhimers,ForestDiffusion,Extra Trees,0,0.9653333333333333,0.01359738536958078,2
2. Alzhimers,ForestDiffusion,Gradient Boosting,0,0.9613333333333334,0.01733333333333335,2
2. Alzhimers,ForestDiffusion,KNN,0,0.9466666666666667,0.0304046780026437,2
2. Alzhimers,ForestDiffusion,Logistic Regression,0,0.9573333333333333,0.01959591794226543,2
2. Alzhimers,ForestDiffusion,MLP,0,0.9626666666666667,0.02048305532764963,2
2. Alzhimers,ForestDiffusion,Naive Bayes,0,0.9506666666666668,0.01982142499642468,2
2. Alzhimers,ForestDiffusion,Random Forest,0,0.9613333333333334,0.01833030277982337,2
2. Alzhimers,ForestDiffusion,SVM-RBF,0,0.9573333333333333,0.01959591794226543,2
2. Alzhimers,GaussianCopula,AdaBoost,0,0.8733333333333333,0.03590109871423003,2
2. Alzhimers,GaussianCopula,Decision Tree,0,0.5906666666666667,0.05751907896032798,2
2. Alzhimers,GaussianCopula,Extra Trees,0,0.8719999999999999,0.03276854860651866,2
2. Alzhimers,GaussianCopula,Gradient Boosting,0,0.7933333333333333,0.04853406592853682,2
2. Alzhimers,GaussianCopula,KNN,0,0.7906666666666666,0.02735771270491092,2
2. Alzhimers,GaussianCopula,Logistic Regression,0,0.8933333333333333,0.01977652929892176,2
2. Alzhimers,GaussianCopula,MLP,0,0.7906666666666666,0.0434306599330729,2
2. Alzhimers,GaussianCopula,Naive Bayes,0,0.9200000000000002,0.02385139175999776,2
2. Alzhimers,GaussianCopula,Random Forest,0,0.8453333333333333,0.04548992562461862,2
2. Alzhimers,GaussianCopula,SVM-RBF,0,0.8733333333333334,0.03169297153067924,2
2. Alzhimers,TVAE,AdaBoost,0,0.8973333333333333,0.02462158041682585,2
2. Alzhimers,TVAE,Decision Tree,0,0.7933333333333333,0.04351245032554859,2
2. Alzhimers,TVAE,Extra Trees,0,0.8826666666666666,0.03517574922206111,2
2. Alzhimers,TVAE,Gradient Boosting,0,0.8453333333333333,0.03827386691841955,2
2. Alzhimers,TVAE,KNN,0,0.868,0.04235301379804957,2
2. Alzhimers,TVAE,Logistic Regression,0,0.9013333333333333,0.02324746103221692,2
2. Alzhimers,TVAE,MLP,0,0.836,0.05234076380370807,2
2. Alzhimers,TVAE,Naive Bayes,0,0.9493333333333334,0.01866666666666666,2
2. Alzhimers,TVAE,Random Forest,0,0.8400000000000001,0.03864367132317183,2
2. Alzhimers,TVAE,SVM-RBF,0,0.9053333333333334,0.01927577639306796,2
2. Alzhimers,TabDDPM,AdaBoost,0,0.588,0.07807688518377254,2
2. Alzhimers,TabDDPM,Decision Tree,0,0.5093333333333333,0.02133333333333333,2
2. Alzhimers,TabDDPM,Extra Trees,0,0.5213333333333334,0.06598316283551263,2
2. Alzhimers,TabDDPM,Gradient Boosting,0,0.5693333333333334,0.03820413008505175,2
2. Alzhimers,TabDDPM,KNN,0,0.5200000000000001,0.04216370213557839,2
2. Alzhimers,TabDDPM,Logistic Regression,0,0.5200000000000001,0.03955305859784353,2
2. Alzhimers,TabDDPM,MLP,0,0.4666666666666667,0.05198290317231447,2
2. Alzhimers,TabDDPM,Naive Bayes,0,0.5693333333333334,0.03957552554574888,2
2. Alzhimers,TabDDPM,Random Forest,0,0.5373333333333333,0.04260412082312123,2
2. Alzhimers,TabDDPM,SVM-RBF,0,0.5186666666666667,0.03975480404233486,2
2. Alzhimers,WGAN_GP,AdaBoost,0,0.8959999999999999,0.0498174445127184,2
2. Alzhimers,WGAN_GP,Decision Tree,0,0.8453333333333335,0.0590893861497609,2
2. Alzhimers,WGAN_GP,Extra Trees,0,0.9066666666666666,0.02859681411936961,2
2. Alzhimers,WGAN_GP,Gradient Boosting,0,0.8786666666666667,0.04749736834815167,2
2. Alzhimers,WGAN_GP,KNN,0,0.836,0.02069889959501337,2
2. Alzhimers,WGAN_GP,Logistic Regression,0,0.8906666666666666,0.04035398920112414,2
2. Alzhimers,WGAN_GP,MLP,0,0.8786666666666667,0.03235909626536425,2
2. Alzhimers,WGAN_GP,Naive Bayes,0,0.8653333333333334,0.03448671241700681,2
2. Alzhimers,WGAN_GP,Random Forest,0,0.9186666666666667,0.03290390047800815,2
2. Alzhimers,WGAN_GP,SVM-RBF,0,0.8826666666666666,0.04035398920112414,2
3. Adult,CTABGAN,AdaBoost,0,0.742,0.04703426646841878,2
3. Adult,CTABGAN,Decision Tree,0,0.488,0.1081716742549135,2
3. Adult,CTABGAN,Extra Trees,0,0.5995000000000001,0.04437529342625991,2
3. Adult,CTABGAN,Gradient Boosting,0,0.282,0.1229543727476895,2
3. Adult,CTABGAN,KNN,0,0.5395000000000001,0.04675289652345974,2
3. Adult,CTABGAN,Logistic Regression,0,0.7710000000000001,0.005676462121975472,2
3. Adult,CTABGAN,MLP,0,0.5445,0.05346078521267299,2
3. Adult,CTABGAN,Naive Bayes,0,0.7165000000000001,0.03291824890712006,2
3. Adult,CTABGAN,Random Forest,0,0.4635,0.09395773281404547,2
3. Adult,CTABGAN,SVM-RBF,0,0.7135,0.0209563037453332,2
3. Adult,CTGAN,AdaBoost,0,0.7750000000000001,1.1702778228589e-16,2
3. Adult,CTGAN,Decision Tree,0,0.4145,0.05193211380681942,2
3. Adult,CTGAN,Extra Trees,0,0.6809999999999998,0.01646545204697126,2
3. Adult,CTGAN,Gradient Boosting,0,0.757,0.00856348838577676,2
3. Adult,CTGAN,KNN,0,0.6024999999999999,0.03066394915495683,2
3. Adult,CTGAN,Logistic Regression,0,0.7750000000000001,1.1702778228589e-16,2
3. Adult,CTGAN,MLP,0,0.6304999999999998,0.03639673367518331,2
3. Adult,CTGAN,Naive Bayes,0,0.741,0.01542004467496052,2
3. Adult,CTGAN,Random Forest,0,0.6910000000000001,0.0199722029052603,2
3. Adult,CTGAN,SVM-RBF,0,0.7745000000000001,0.001581138830084191,2
3. Adult,CopulaGAN,AdaBoost,0,0.7735000000000001,0.003374742788552768,2
3. Adult,CopulaGAN,Decision Tree,0,0.406,0.02998147576235848,2
3. Adult,CopulaGAN,Extra Trees,0,0.658,0.0279085809185793,2
3. Adult,CopulaGAN,Gradient Boosting,0,0.724,0.02342837785440746,2
3. Adult,CopulaGAN,KNN,0,0.581,0.03339993346633427,2
3. Adult,CopulaGAN,Logistic Regression,0,0.7745000000000001,0.001581138830084191,2
3. Adult,CopulaGAN,MLP,0,0.607,0.03284644408286671,2
3. Adult,CopulaGAN,Naive Bayes,0,0.6535,0.05744804415972554,2
3. Adult,CopulaGAN,Random Forest,0,0.6805,0.01755151148920099,2
3. Adult,CopulaGAN,SVM-RBF,0,0.771,0.006146362971528596,2
3. Adult,ForestDiffusion,AdaBoost,0,0.728,0.03216278042154384,2
3. Adult,ForestDiffusion,Decision Tree,0,0.6325,0.04104536785341586,2
3. Adult,ForestDiffusion,Extra Trees,0,0.7175,0.02359967043084385,2
3. Adult,ForestDiffusion,Gradient Boosting,0,0.7785,0.03894797099265179,2
3. Adult,ForestDiffusion,KNN,0,0.6819999999999999,0.0204396129556745,2
3. Adult,ForestDiffusion,Logistic Regression,0,0.7204999999999999,0.02521573582771946,2
3. Adult,ForestDiffusion,MLP,0,0.7040000000000001,0.03680277767294805,2
3. Adult,ForestDiffusion,Naive Bayes,0,0.7725000000000002,0.02821051813301795,2
3. Adult,ForestDiffusion,Random Forest,0,0.7464999999999999,0.02068950351157698,2
3. Adult,ForestDiffusion,SVM-RBF,0,0.7155,0.02278522913351252,2
3. Adult,GaussianCopula,AdaBoost,0,0.7715000000000001,0.00944281031614354,2
3. Adult,GaussianCopula,Decision Tree,0,0.4085,0.07803311262961811,2
3. Adult,GaussianCopula,Extra Trees,0,0.7084999999999999,0.02427275564633454,2
3. Adult,GaussianCopula,Gradient Boosting,0,0.6525000000000001,0.1101072709275419,2
3. Adult,GaussianCopula,KNN,0,0.6079999999999999,0.03368151487751769,2
3. Adult,GaussianCopula,Logistic Regression,0,0.7745000000000001,0.001581138830084191,2
3. Adult,GaussianCopula,MLP,0,0.5890000000000001,0.05179017495840521,2
3. Adult,GaussianCopula,Naive Bayes,0,0.639,0.02913569784454957,2
3. Adult,GaussianCopula,Random Forest,0,0.7205,0.02350531854708634,2
3. Adult,GaussianCopula,SVM-RBF,0,0.768,0.006749485577105536,2
3. Adult,TVAE,AdaBoost,0,0.7114999999999999,0.0156436000403431,2
3. Adult,TVAE,Decision Tree,0,0.6625,0.01719980620045857,2
3. Adult,TVAE,Extra Trees,0,0.7164999999999999,0.01313392553656371,2
3. Adult,TVAE,Gradient Boosting,0,0.704,0.01867856763482919,2
3. Adult,TVAE,KNN,0,0.6655,0.03209794039775414,2
3. Adult,TVAE,Logistic Regression,0,0.6625,0.02637865298557399,2
3. Adult,TVAE,MLP,0,0.6955,0.02454587541726713,2
3. Adult,TVAE,Naive Bayes,0,0.41,0.04422166387140534,2
3. Adult,TVAE,Random Forest,0,0.7224999999999999,0.01687371394276384,2
3. Adult,TVAE,SVM-RBF,0,0.747,0.01378404875209023,2
3. Adult,TabDDPM,AdaBoost,0,0.5305000000000001,0.1057368326449104,2
3. Adult,TabDDPM,Decision Tree,0,0.533,0.08944893018427393,2
3. Adult,TabDDPM,Extra Trees,0,0.5954999999999999,0.08725600902580355,2
3. Adult,TabDDPM,Gradient Boosting,0,0.3895,0.106860500965823,2
3. Adult,TabDDPM,KNN,0,0.6029999999999999,0.06490163497341357,2
3. Adult,TabDDPM,Logistic Regression,0,0.2305,0.008316649966583095,2
3. Adult,TabDDPM,MLP,0,0.4575,0.2711933504592864,2
3. Adult,TabDDPM,Naive Bayes,0,0.5655,0.1774268237267911,2
3. Adult,TabDDPM,Random Forest,0,0.5125,0.1123795651649652,2
3. Adult,TabDDPM,SVM-RBF,0,0.2305,0.008316649966583095,2
3. Adult,WGAN_GP,AdaBoost,0,0.4189999999999999,0.05342700108039421,2
3. Adult,WGAN_GP,Decision Tree,0,0.45,0.04242640687119286,2
3. Adult,WGAN_GP,Extra Trees,0,0.2755,0.02443244655052875,2
3. Adult,WGAN_GP,Gradient Boosting,0,0.288,0.0213697605664328,2
3. Adult,WGAN_GP,KNN,0,0.3585,0.02963200221982232,2
3. Adult,WGAN_GP,Logistic Regression,0,0.3295,0.02020038503483425,2
3. Adult,WGAN_GP,MLP,0,0.352,0.03852848873813305,2
3. Adult,WGAN_GP,Naive Bayes,0,0.4475000000000001,0.02519369409638496,2
3. Adult,WGAN_GP,Random Forest,0,0.292,0.02485513584307633,2
3. Adult,WGAN_GP,SVM-RBF,0,0.2865,0.01764621457675522,2
