Dataset,Generator,Mapping_Method,Metric,Available,Mean
3. Adult,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
3. Adult,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,1,2.101094
3. Adult,CopulaGAN,Hungarian,Cosine Similarity,1,0.9964779684956976
3. Adult,CopulaGAN,Hungarian,Mahalanobis Distance,1,0.6750320130668681
3. Adult,TVAE,Greedy,Cosine Similarity,0,
3. Adult,TVAE,Greedy,Mahalanobis Distance,0,
3. Adult,TVAE,One-to-One Greedy,Cosine Similarity,0,
3. Adult,TVAE,One-to-One Greedy,Mahalanobis Distance,1,2.491583
3. Adult,TVAE,Hungarian,Cosine Similarity,1,0.9994313165892008
3. Adult,TVAE,Hungarian,Mahalanobis Distance,1,0.1163703617203237
3. Adult,GaussianCopula,Greedy,Cosine Similarity,0,
3. Adult,GaussianCopula,Greedy,Mahalanobis Distance,0,
3. Adult,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
3. Adult,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,1,5.795991
3. Adult,GaussianCopula,Hungarian,Cosine Similarity,1,0.9806849869684116
3. Adult,GaussianCopula,Hungarian,Mahalanobis Distance,1,2.484689273011973
3. Adult,WGAN_GP,Greedy,Cosine Similarity,0,
3. Adult,WGAN_GP,Greedy,Mahalanobis Distance,0,
3. Adult,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
3. Adult,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,1.7954
3. Adult,WGAN_GP,Hungarian,Cosine Similarity,1,0.996304476661821
3. Adult,WGAN_GP,Hungarian,Mahalanobis Distance,1,1.647321943434293
3. Adult,CTABGAN,Greedy,Cosine Similarity,0,
3. Adult,CTABGAN,Greedy,Mahalanobis Distance,0,
3. Adult,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
3. Adult,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,2.508
3. Adult,CTABGAN,Hungarian,Cosine Similarity,1,0.9998866616845968
3. Adult,CTABGAN,Hungarian,Mahalanobis Distance,1,2.428502572522146
3. Adult,TabDDPM,Greedy,Cosine Similarity,0,
3. Adult,TabDDPM,Greedy,Mahalanobis Distance,0,
3. Adult,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
3. Adult,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,11.842
