Dataset,Generator,Mapping_Method,Metric,Available,Mean
15. Real Estate Valuation,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,0.9013
15. Real Estate Valuation,CTABGAN,Hungarian,Cosine Similarity,1,0.999655
15. Real Estate Valuation,CTABGAN,Hungarian,Mahalanobis Distance,0,
15. Real Estate Valuation,TabDDPM,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,TabDDPM,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,0.9375
15. Real Estate Valuation,TabDDPM,Hungarian,Cosine Similarity,1,0.999461
15. Real Estate Valuation,TabDDPM,Hungarian,Mahalanobis Distance,0,
15. Real Estate Valuation,ForestDiffusion,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,ForestDiffusion,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,0.0773
15. Real Estate Valuation,ForestDiffusion,Hungarian,Cosine Similarity,1,0.999959
15. Real Estate Valuation,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
