Dataset,Generator,Greedy_Cosine,Greedy_Cosine_Note,Greedy_Cosine_Proxy_Pairwise,Cosine_Baseline_Method,Hungarian_Cosine,Delta_Cosine,Cosine_Improvement_Pct,Cosine_Pct_Unstable,Greedy_Mahalanobis,Hungarian_Mahalanobis,Delta_Mahalanobis,Mahalanobis_Improvement_Pct,Maha_Pct_Unstable,hung_src,nb_src,Num_Matches
ForestCover,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004782,Pairwise (no assignment),0.997509,0.992727,20759.661229611043,False,10.3564,10.2136,0.14280000000000115,1.3788575180564784,False,notebook_pair:print,4_Forest_Cover_diffusion.ipynb,1000.0
Bank,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.016167,Pairwise (no assignment),0.9996685798816864,0.9835015798816864,6083.389496391949,False,,,,,False,,,10000.0
Bank,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.004861,Pairwise (no assignment),0.9994728773158172,1.0043338773158172,-20661.05487175102,False,,,,,False,,,10000.0
Bank,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.047822,Pairwise (no assignment),0.9989676630292432,0.9511456630292432,1988.9290766367844,False,,,,,False,,,10000.0
Bank,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.020781,Pairwise (no assignment),0.9931425769281476,1.0139235769281476,-4879.089441933244,False,,,,,False,,,10000.0
Bank,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.019165,Pairwise (no assignment),0.939923,0.920758,4804.372554135142,False,1.3445,1.1716,0.17290000000000005,12.859799181851994,False,notebook_pair:print,5. Bank marketing_other GAN.ipynb,1000.0
Bank,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.030217,Pairwise (no assignment),0.810998,0.780781,2583.913029089585,False,2.2412,2.0781,0.16310000000000002,7.277351418882742,False,notebook_pair:print,5. Bank marketing_other GAN.ipynb,1000.0
Bank,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.05826,Pairwise (no assignment),0.357519,0.41577899999999995,-713.6611740473737,False,10.6833,10.5591,0.12419999999999831,1.162562129679016,False,notebook_pair:print,5. Bank marketing_diffusion.ipynb,1000.0
Bank,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.028548,Pairwise (no assignment),0.953458,0.92491,3239.841670169539,False,0.9368,0.8085,0.12829999999999997,13.695559350982064,False,notebook_pair:print,5. Bank marketing_diffusion.ipynb,1000.0
Wine,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.005918,Pairwise (no assignment),,,,False,,14.60013448951508,,,False,long_csv,,6497.0
Wine,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.005261,Pairwise (no assignment),,,,False,,14.97249458978774,,,False,long_csv,,6497.0
Wine,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.014057,Pairwise (no assignment),,,,False,,13.65101514825886,,,False,long_csv,,6497.0
Wine,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.003519,Pairwise (no assignment),,,,False,,15.50733446018729,,,False,long_csv,,6497.0
Wine,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.00224,Pairwise (no assignment),0.980089,0.977849,43653.97321428572,False,3.3377,3.1203,0.21740000000000004,6.513467357761334,False,notebook_pair:print,6. Winequality_other GAN.ipynb,1000.0
Wine,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-6.3e-05,Pairwise (no assignment),0.976834,0.976897,-1550630.1587301588,True,3.6759,3.3891,0.28679999999999994,7.802170896923201,False,notebook_pair:print,6. Winequality_other GAN.ipynb,1000.0
Wine,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.000788,Pairwise (no assignment),0.942491,0.943279,-119705.45685279189,True,5.4729,5.1842,0.2887000000000004,5.275082680114754,False,notebook_pair:print,6. Winequality_diffusion.ipynb,1000.0
Wine,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.009172,Pairwise (no assignment),0.997669,0.9884970000000001,10777.333187963368,False,1.6171,1.5167,0.10040000000000004,6.208645105435659,False,notebook_pair:print,6. Winequality_diffusion.ipynb,1000.0
CDC,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.004886,Pairwise (no assignment),0.9851661008568016,0.9900521008568015,-20263.039313483452,False,3.446302,3.072402,0.37390000000000034,10.849310362237562,False,notebook_pair:sampled_table,7. Heart.ipynb,5000.0
CDC,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.000336,Pairwise (no assignment),0.9945577524214452,0.9948937524214452,-296099.3310778111,True,3.788867,3.345442,0.4434250000000004,11.703366732060017,False,notebook_pair:sampled_table,7. Heart.ipynb,5000.0
CDC,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.02507,Pairwise (no assignment),0.9983234912644736,0.9732534912644736,3882.1439619643943,False,3.0372,2.801934,0.23526599999999975,7.74614776768075,False,notebook_pair:sampled_table,7. Heart.ipynb,5000.0
CDC,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.004156,Pairwise (no assignment),0.9971737677781224,1.0013297677781223,-24093.594027385043,False,3.956109,3.569087,0.387022,9.782895264008145,False,notebook_pair:sampled_table,7. Heart.ipynb,5000.0
CDC,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.032389,Pairwise (no assignment),0.986286,1.018675,-3145.12643181327,False,6.856,6.7014,0.1546000000000003,2.254959159859981,False,notebook_pair:print,7_CDC_diabetes_other_GAN.ipynb,1000.0
CDC,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.007307,Pairwise (no assignment),0.982831,0.9755240000000001,13350.540577528398,False,3.9642,3.8121,0.1520999999999999,3.8368397154533045,False,notebook_pair:print,7_CDC_diabetes_other_GAN.ipynb,1000.0
CDC,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),,Pairwise (no assignment),0.946035,,,False,8.5135,8.3148,0.19870000000000054,2.3339402126035185,False,notebook_pair:print,7_CDC_diabetes_diffusion.ipynb,1000.0
CDC,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),,Pairwise (no assignment),0.995394,,,False,2.7934,2.6942,0.09920000000000018,3.5512278943223374,False,notebook_pair:print,7_CDC_diabetes_diffusion.ipynb,1000.0
Mushroom,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.028863,Pairwise (no assignment),0.9887827505945156,0.9599197505945156,3325.779546805653,False,0.615897,0.486169,0.129728,21.063262201309637,False,notebook_pair:sampled_table,8. Mushroom.ipynb,10000.0
Mushroom,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.014609,Pairwise (no assignment),0.989882442334801,0.9752734423348011,6675.8398407474915,False,0.698264,0.539467,0.15879699999999997,22.741685093317134,False,notebook_pair:sampled_table,8. Mushroom.ipynb,10000.0
Mushroom,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.038429,Pairwise (no assignment),0.9835869904792532,0.9451579904792532,2459.4915050593386,False,0.544045,0.433018,0.11102699999999999,20.407686864138075,False,notebook_pair:sampled_table,8. Mushroom.ipynb,10000.0
Mushroom,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.026794,Pairwise (no assignment),0.9944284213885014,0.9676344213885014,3611.3847181775823,False,0.538448,0.394057,0.14439100000000005,26.816145663090964,False,notebook_pair:sampled_table,8. Mushroom.ipynb,10000.0
Mushroom,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.000778,Pairwise (no assignment),0.9666,0.9658220000000001,124141.64524421594,True,1.9831,1.8176,0.16549999999999998,8.345519640966163,False,notebook_pair:print,8. Mushroom_other GAN.ipynb,1000.0
Mushroom,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.005969,Pairwise (no assignment),0.864065,0.870034,-14575.87535600603,False,1.1701,1.0407,0.12939999999999996,11.058883856080675,False,notebook_pair:print,8. Mushroom_other GAN.ipynb,1000.0
Mushroom,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.010754,Pairwise (no assignment),0.810579,0.8213330000000001,-7637.465129254232,False,9.3739,9.2433,0.13060000000000116,1.3932301390029886,False,notebook_pair:print,8. Mushroom_diffusion.ipynb,1000.0
Mushroom,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.006439,Pairwise (no assignment),0.988409,0.994848,-15450.34943314179,False,0.6321,0.5276,0.10450000000000004,16.532194273058064,False,notebook_pair:print,8. Mushroom_diffusion.ipynb,1000.0
MAGIC,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.028233,Pairwise (no assignment),0.987115,0.958882,3396.3163673715153,False,2.43384,3.383397,-0.949557,-39.01476678828518,False,notebook_pair:table,9. MAGIC Gamma Telescope.ipynb,19020.0
MAGIC,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.017636,Pairwise (no assignment),0.983916,0.96628,5479.020185983217,False,1.952442,1.282184,0.670258,34.32921438895496,False,notebook_pair:table,9. MAGIC Gamma Telescope.ipynb,19020.0
MAGIC,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.033048,Pairwise (no assignment),0.989433,0.956385,2893.9270152505446,False,1.25837,2.000846,-0.7424760000000001,-59.002995939191194,False,notebook_pair:table,9. MAGIC Gamma Telescope.ipynb,19020.0
MAGIC,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004072,Pairwise (no assignment),0.946915,0.942843,23154.297642436148,False,1.948976,2.490962,-0.5419860000000001,-27.80875700880873,False,notebook_pair:table,9. MAGIC Gamma Telescope.ipynb,19020.0
MAGIC,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.013872,Pairwise (no assignment),0.995642,0.98177,7077.350057670127,False,1.9498,1.8741,0.07569999999999988,3.8824494819981474,False,notebook_pair:print,9. MAGIC Gamma Telescope_other GAN.ipynb,1000.0
MAGIC,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.028239,Pairwise (no assignment),0.997771,0.969532,3433.308544920146,False,1.209,1.1898,0.019200000000000106,1.5880893300248227,False,notebook_pair:print,9. MAGIC Gamma Telescope_other GAN.ipynb,1000.0
MAGIC,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.002602,Pairwise (no assignment),0.923839,0.926441,-35604.95772482705,False,4.5721,4.2848,0.2873000000000001,6.2837645720784785,False,notebook_pair:print,9. MAGIC Gamma Telescope_diffusion.ipynb,1000.0
MAGIC,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.025724,Pairwise (no assignment),0.992639,0.9669150000000001,3758.8050069973565,False,1.432,1.3078,0.12419999999999987,8.67318435754189,False,notebook_pair:print,9. MAGIC Gamma Telescope_diffusion.ipynb,1000.0
Metro,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.016607,Pairwise (no assignment),0.9998118622548122,0.9832048622548122,5920.424292496009,False,0.431625,0.399805,0.03181999999999996,7.372140167969873,False,notebook_pair:sampled_table,10. Metro Interstate Traffic Volume.ipynb,5000.0
