Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
9. MAGIC Gamma Telescope,MAGIC,TVAE,19020.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.989433,excel_sheets_privacy_hungarian_matching,0.995263,0.668447,0.999982,
9. MAGIC Gamma Telescope,MAGIC,CTGAN,19020.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.987115,excel_sheets_privacy_hungarian_matching,0.992031,0.780081,0.99996,
6. Wine dataset,Wine,WGAN_GP,1000.0,excel sheets/2. Privacy/6. Wine dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.976834,excel_sheets_privacy_hungarian_matching,0.997062,-0.487305,0.999452,
6. Wine dataset,Wine,CTABGAN,1000.0,excel sheets/2. Privacy/6. Wine dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.980089,excel_sheets_privacy_hungarian_matching,0.99831,0.762524,0.999975,
5. Bank Markting,Bank,TabDDPM,1000.0,excel sheets/2. Privacy/5. Bank Markting/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.357519,excel_sheets_privacy_hungarian_matching,0.581982,-0.935086,0.999899,
5. Bank Markting,Bank,ForestDiffusion,1000.0,excel sheets/2. Privacy/5. Bank Markting/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.953458,excel_sheets_privacy_hungarian_matching,0.994007,0.415499,0.999996,
5. Bank Markting,Bank,WGAN_GP,1000.0,excel sheets/2. Privacy/5. Bank Markting/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.810998,excel_sheets_privacy_hungarian_matching,0.966421,-0.30411,0.999278,
5. Bank Markting,Bank,CTABGAN,1000.0,excel sheets/2. Privacy/5. Bank Markting/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.939923,excel_sheets_privacy_hungarian_matching,0.98493,0.372275,0.999998,
4. Forest cover dataset,ForestCover,TabDDPM,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.891484,excel_sheets_privacy_hungarian_matching,0.910817,0.693613,0.992524,
4. Forest cover dataset,ForestCover,ForestDiffusion,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.997509,excel_sheets_privacy_hungarian_matching,0.998303,0.956144,0.999994,
