Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
15. Real Estate Valuation,RealEstate,WGAN_GP,,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.4639,notebook_output_greedy_mean,,,,
5. Bank Markting,Bank,CTABGAN,,Generators/Other GANS/5. Bank marketing_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.3445,notebook_output_greedy_mean,,,,
5. Bank Markting,Bank,WGAN_GP,,Generators/Other GANS/5. Bank marketing_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,2.2412,notebook_output_greedy_mean,,,,
6. Wine dataset,Wine,CTABGAN,,Generators/Other GANS/6. Winequality_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,3.3377,notebook_output_greedy_mean,,,,
6. Wine dataset,Wine,WGAN_GP,,Generators/Other GANS/6. Winequality_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,3.6759,notebook_output_greedy_mean,,,,
3. Adult,Adult,CTABGAN,,Generators/Other GANS/3. Adult census_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,2.508,notebook_output_greedy_mean,,,,
3. Adult,Adult,WGAN_GP,,Generators/Other GANS/3. Adult census_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.7954,notebook_output_greedy_mean,,,,
12. Air Quality,AirQuality,CTABGAN,,Generators/Other GANS/12. Air Quality_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,9.2838,notebook_output_greedy_mean,,,,
15. Real Estate Valuation,RealEstate,TabDDPM,,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,0.9375,notebook_output_greedy_mean,,,,
13. Concrete Compressive Strength,Concrete,ForestDiffusion,,Generators/Diffusion GANs/13. Concrete Compressive Strength_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,0.9112,notebook_output_greedy_mean,,,,
13. Concrete Compressive Strength,Concrete,TabDDPM,,Generators/Diffusion GANs/13. Concrete Compressive Strength_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,1.7551,notebook_output_greedy_mean,,,,
8. Mushroom dataset,Mushroom,ForestDiffusion,,Generators/Diffusion GANs/8. Mushroom_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,0.6321,notebook_output_greedy_mean,,,,
8. Mushroom dataset,Mushroom,TabDDPM,,Generators/Diffusion GANs/8. Mushroom_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,9.3739,notebook_output_greedy_mean,,,,
3. Adult,Adult,ForestDiffusion,,Generators/Diffusion GANs/3. Adult census_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,0.8831,notebook_output_greedy_mean,,,,
