dataset_id,Dataset,generator,Generator,Quality_Score,Quality_Score_sd,MIA_AUC,MIA_AUC_sd,R2_Gap,R2_Gap_sd,R2_TSTR,R2_TSTR_sd
online_shopping,Online Shopping,TVAE,TVAE,0.7473060331797947,0.013202822543504732,0.7921234567901234,0.02544593228522018,0.10749622718217644,0.03842681661284428,0.7299545308632883,0.038426816612844264
online_shopping,Online Shopping,TabDDPM,TabDDPM,0.3986146253733694,0.0037310845978739283,0.8378395061728394,0.03196846243924992,1.3935222907161224,0.2267145424449299,-0.5560715326706578,0.2267145424449299
online_shopping,Online Shopping,WGAN_GP,WGAN-GP,0.20319519519251822,0.002908797392054507,0.5824938271604938,0.033688741861621005,0.028707674654451946,0.012230147765384763,0.8087430833910128,0.012230147765384747
real_estate,Real Estate,CTABGAN,CTABGAN,0.8629826933861781,0.02819596877186007,0.6520864197530865,0.030900360158989403,0.262146007170451,0.1034316758578023,0.47244199355434213,0.1034316758578023
real_estate,Real Estate,CTGAN,CTGAN,0.7288353960844167,0.0194938753668312,0.9158024691358022,0.019282108074103292,1.3128621430812681,0.5723752548182718,-0.5782741423564748,0.572375254818272
real_estate,Real Estate,CopulaGAN,CopulaGAN,0.7272583758383546,0.021034090896917434,0.9169259259259259,0.0242356052459032,1.0457162509290558,0.4068660912354229,-0.3111282502042627,0.4068660912354228
real_estate,Real Estate,ForestDiffusion,ForestDiffusion,0.9343171661307622,0.0062730158421145,0.5068024691358025,0.02995412446373678,0.05350059417409144,0.03218915243228518,0.6810874065507018,0.03218915243228518
real_estate,Real Estate,GaussianCopula,GaussianCopula,0.8655543323682668,0.0,0.9422222222222224,0.0,0.20431523386331302,0.0,0.5302727668614803,0.0
real_estate,Real Estate,TVAE,TVAE,0.9089551650020884,0.007198870531467925,0.8817407407407407,0.007741319388632299,0.1760905817230426,0.055541661205836736,0.5584974190017507,0.05554166120583674
real_estate,Real Estate,TabDDPM,TabDDPM,0.7724790894502759,0.0548000947659416,0.7248888888888889,0.0539053245040793,0.47209472130306407,0.1622326919728432,0.2624932794217291,0.1622326919728432
real_estate,Real Estate,WGAN_GP,WGAN-GP,0.8770842774535156,0.018126763053952402,0.791679012345679,0.08780776769630401,0.2654745053084073,0.1419904925807093,0.4691134954163859,0.14199049258070928
