dataset,dataset_id,problem_type,generator,metric_category,metric_name,mean,sd,mean_sd,n_seeds,median,min,max,seed_42,seed_123,seed_2024,seed_68,seed_91,seed_2025,seed_55,seed_155,seed_255,seed_355
Adult,adult,classification,CTGAN,Fidelity,KS_Complement,0.7965083333333334,0.028563034242781705,0.796508 ± 0.028563,10,0.8005374999999999,0.7565791666666666,0.842625,0.7565791666666666,0.7845333333333334,0.7589041666666668,0.808325,0.82825,0.8128041666666667,0.7975708333333333,0.842625,0.7719874999999999,0.8035041666666666
Adult,adult,classification,CTGAN,Fidelity,MMD,0.012126217886121591,0.005337667815083889,0.0121262 ± 0.00533767,10,0.01055646339287755,0.0055639232009361,0.020382356063501,0.0076491164816627,0.020382356063501,0.010955427069716,0.0070631660226081,0.0189014116648729,0.0141390929576704,0.0055639232009361,0.008648344676652,0.0101574997160391,0.0178018410075576
Adult,adult,classification,CTGAN,Fidelity,Quality_Score,0.8475936875000001,0.015766671564251884,0.847594 ± 0.0157667,10,0.8492596875,0.8218833333333333,0.8745135416666667,0.8218833333333333,0.8355758333333333,0.8527131250000002,0.8562608333333334,0.8745135416666667,0.8482387499999999,0.850280625,0.8345579166666668,0.865198125,0.8367147916666667
Adult,adult,classification,CTGAN,Fidelity,Wasserstein_Distance,3004.0932174999984,1314.2533352791781,3004.09 ± 1314.25,10,2546.576379166665,1842.898549999998,5745.867025,2384.298374999998,4739.756724999997,3379.189399999998,1874.255266666665,5745.867025,2708.854383333332,3165.171549999999,2344.280249999999,1842.898549999998,1856.360649999999
Adult,adult,classification,CTGAN,Privacy,MIA_AUC,0.6206543209876543,0.04174113854811493,0.620654 ± 0.0417411,10,0.6339506172839506,0.5387654320987654,0.6662962962962963,0.6348148148148148,0.581604938271605,0.6374074074074074,0.6330864197530863,0.5387654320987654,0.6308641975308642,0.5744444444444444,0.6641975308641975,0.6450617283950617,0.6662962962962963
Adult,adult,classification,CTGAN,Privacy,Mahalanobis_Distance,3.9756957938514716,0.09609709546254129,3.9757 ± 0.0960971,10,3.9605857815423064,3.868149915423814,4.149786203708573,4.010773724726963,3.894644446052669,3.88612264352469,4.149786203708573,4.016414229205983,3.911858958652571,4.006727963381839,4.098036254134838,3.914443599702774,3.868149915423814
Adult,adult,classification,CTGAN,Privacy,Mean_Distance,3.9756957938514716,0.09609709546254129,3.9757 ± 0.0960971,10,3.9605857815423064,3.868149915423814,4.149786203708573,4.010773724726963,3.894644446052669,3.88612264352469,4.149786203708573,4.016414229205983,3.911858958652571,4.006727963381839,4.098036254134838,3.914443599702774,3.868149915423814
Adult,adult,classification,CTGAN,Privacy,Median_Distance,3.8408396374798053,0.08211608339739682,3.84084 ± 0.0821161,10,3.843724831794078,3.722230785326336,3.978546301621361,3.884827247174535,3.747754237857838,3.861120428677681,3.946423891690857,3.802280384170415,3.840981067069107,3.846468596519049,3.978546301621361,3.777763434690874,3.722230785326336
Adult,adult,classification,CTGAN,Privacy,NNDR,0.8686699485355067,0.004410102457285498,0.86867 ± 0.0044101,10,0.8693683989390116,0.8606067982704956,0.8744110849046065,0.8740941014509749,0.870007724262842,0.8687290736151813,0.8744110849046065,0.8606067982704956,0.8701785139189822,0.8649028776689456,0.8662255459147143,0.8721916006367492,0.8653521647115756
Adult,adult,classification,CTGAN,Utility,Accuracy_Gap,0.03261833333333346,0.006878282381417514,0.0326183 ± 0.00687828,10,0.0310083333333335,0.0246000000000002,0.0450500000000002,0.0261500000000001,0.0311000000000001,0.0309166666666669,0.0246000000000002,0.0287500000000001,0.0277666666666667,0.0360666666666668,0.0327000000000001,0.0450500000000002,0.0430833333333334
