dataset_id,problem_type,generator,seed,batch,batch_label
real_estate,regression,CTABGAN,123,1st_batch,1st batch
real_estate,regression,CTGAN,123,1st_batch,1st batch
real_estate,regression,CopulaGAN,123,1st_batch,1st batch
real_estate,regression,ForestDiffusion,123,1st_batch,1st batch
real_estate,regression,GaussianCopula,123,1st_batch,1st batch
real_estate,regression,TVAE,123,1st_batch,1st batch
real_estate,regression,TabDDPM,123,1st_batch,1st batch
real_estate,regression,WGAN_GP,123,1st_batch,1st batch
adult,classification,CTABGAN,2024,1st_batch,1st batch
adult,classification,CTGAN,2024,1st_batch,1st batch
adult,classification,CopulaGAN,2024,1st_batch,1st batch
adult,classification,ForestDiffusion,2024,1st_batch,1st batch
adult,classification,GaussianCopula,2024,1st_batch,1st batch
adult,classification,TVAE,2024,1st_batch,1st batch
adult,classification,TabDDPM,2024,1st_batch,1st batch
adult,classification,WGAN_GP,2024,1st_batch,1st batch
alzhimers,classification,CTABGAN,2024,1st_batch,1st batch
alzhimers,classification,CTGAN,2024,1st_batch,1st batch
alzhimers,classification,CopulaGAN,2024,1st_batch,1st batch
alzhimers,classification,ForestDiffusion,2024,1st_batch,1st batch
alzhimers,classification,GaussianCopula,2024,1st_batch,1st batch
alzhimers,classification,TVAE,2024,1st_batch,1st batch
alzhimers,classification,TabDDPM,2024,1st_batch,1st batch
alzhimers,classification,WGAN_GP,2024,1st_batch,1st batch
bank,classification,CTABGAN,2024,1st_batch,1st batch
bank,classification,CTGAN,2024,1st_batch,1st batch
bank,classification,CopulaGAN,2024,1st_batch,1st batch
bank,classification,ForestDiffusion,2024,1st_batch,1st batch
bank,classification,GaussianCopula,2024,1st_batch,1st batch
bank,classification,TVAE,2024,1st_batch,1st batch
bank,classification,TabDDPM,2024,1st_batch,1st batch
bank,classification,WGAN_GP,2024,1st_batch,1st batch
cancer,classification,CTABGAN,2024,1st_batch,1st batch
cancer,classification,CTGAN,2024,1st_batch,1st batch
cancer,classification,CopulaGAN,2024,1st_batch,1st batch
cancer,classification,ForestDiffusion,2024,1st_batch,1st batch
cancer,classification,GaussianCopula,2024,1st_batch,1st batch
cancer,classification,TVAE,2024,1st_batch,1st batch
cancer,classification,TabDDPM,2024,1st_batch,1st batch
cancer,classification,WGAN_GP,2024,1st_batch,1st batch
cdc_diabetes,classification,CTABGAN,2024,1st_batch,1st batch
cdc_diabetes,classification,CTGAN,2024,1st_batch,1st batch
cdc_diabetes,classification,CopulaGAN,2024,1st_batch,1st batch
cdc_diabetes,classification,ForestDiffusion,2024,1st_batch,1st batch
cdc_diabetes,classification,GaussianCopula,2024,1st_batch,1st batch
cdc_diabetes,classification,TVAE,2024,1st_batch,1st batch
cdc_diabetes,classification,TabDDPM,2024,1st_batch,1st batch
cdc_diabetes,classification,WGAN_GP,2024,1st_batch,1st batch
forest_cover,classification,CTABGAN,2024,1st_batch,1st batch
forest_cover,classification,CTGAN,2024,1st_batch,1st batch
forest_cover,classification,CopulaGAN,2024,1st_batch,1st batch
forest_cover,classification,ForestDiffusion,2024,1st_batch,1st batch
forest_cover,classification,GaussianCopula,2024,1st_batch,1st batch
forest_cover,classification,TVAE,2024,1st_batch,1st batch
forest_cover,classification,TabDDPM,2024,1st_batch,1st batch
forest_cover,classification,WGAN_GP,2024,1st_batch,1st batch
magic,classification,CTABGAN,2024,1st_batch,1st batch
magic,classification,CTGAN,2024,1st_batch,1st batch
magic,classification,CopulaGAN,2024,1st_batch,1st batch
magic,classification,ForestDiffusion,2024,1st_batch,1st batch
magic,classification,GaussianCopula,2024,1st_batch,1st batch
magic,classification,TVAE,2024,1st_batch,1st batch
