dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Compute,training_time_seconds,73.830597324064,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Compute,generation_time_seconds,0.0,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Compute,evaluation_time_seconds,6.844208926195279,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Compute,total_time_seconds,80.71898122597486,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Fidelity,Quality_Score,0.8403516811907786,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Fidelity,KS_Complement,0.8521739926739927,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Fidelity,Wasserstein_Distance,10.55834017919853,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Fidelity,MMD,0.0366128893592974,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Accuracy_TRTR,0.958187134502924,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Utility,Accuracy_TSTR,0.9634502923976604,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
