dataset,generator,seed,status,start_time,end_time,error
cancer,CTABGAN,123,SUCCESS,2026-09-12T15:53:50.849982+00:00,2026-09-12T15:54:39.224041+00:00,
cancer,CTABGAN,2024,SUCCESS,2026-09-12T15:54:39.258093+00:00,2026-09-12T15:55:27.622918+00:00,
cancer,WGAN_GP,42,SUCCESS,2026-09-12T15:55:27.644434+00:00,2026-09-12T15:55:46.989046+00:00,
cancer,WGAN_GP,123,SUCCESS,2026-09-12T15:55:47.010333+00:00,2026-09-12T15:56:06.626889+00:00,
cancer,WGAN_GP,2024,SUCCESS,2026-09-12T15:56:06.647988+00:00,2026-09-12T15:56:25.811382+00:00,
cancer,TabDDPM,42,SUCCESS,2026-09-12T15:56:25.833231+00:00,2026-09-12T15:56:51.649093+00:00,
cancer,TabDDPM,123,SUCCESS,2026-09-12T15:56:51.672997+00:00,2026-09-12T15:57:17.028206+00:00,
cancer,TabDDPM,2024,SUCCESS,2026-09-12T15:57:17.050939+00:00,2026-09-12T15:57:42.499872+00:00,
cancer,ForestDiffusion,42,SUCCESS,2026-09-12T15:57:42.523784+00:00,2026-09-12T15:57:55.514178+00:00,
cancer,ForestDiffusion,123,SUCCESS,2026-09-12T15:57:55.535321+00:00,2026-09-12T15:58:07.141038+00:00,
cancer,ForestDiffusion,2024,SUCCESS,2026-09-12T15:58:07.162246+00:00,2026-09-12T15:58:18.333807+00:00,
alzhimers,CTGAN,42,SUCCESS,2026-09-12T15:58:18.369132+00:00,2026-09-12T15:58:55.427677+00:00,
alzhimers,CTGAN,123,SUCCESS,2026-09-12T15:58:55.449311+00:00,2026-09-12T15:59:32.455985+00:00,
alzhimers,CTGAN,2024,SUCCESS,2026-09-12T15:59:32.477167+00:00,2026-09-12T16:00:09.340330+00:00,
alzhimers,CopulaGAN,42,SUCCESS,2026-09-12T16:00:09.361119+00:00,2026-09-12T16:00:46.750550+00:00,
alzhimers,CopulaGAN,123,SUCCESS,2026-09-12T16:00:46.771187+00:00,2026-09-12T16:01:23.799911+00:00,
alzhimers,CopulaGAN,2024,SUCCESS,2026-09-12T16:01:23.821043+00:00,2026-09-12T16:02:01.158864+00:00,
alzhimers,TVAE,42,SUCCESS,2026-09-12T16:02:01.179767+00:00,2026-09-12T16:02:09.261769+00:00,
alzhimers,TVAE,123,SUCCESS,2026-09-12T16:02:09.282733+00:00,2026-09-12T16:02:17.382192+00:00,
alzhimers,TVAE,2024,SUCCESS,2026-09-12T16:02:17.404028+00:00,2026-09-12T16:02:25.941904+00:00,
alzhimers,GaussianCopula,42,SUCCESS,2026-09-12T16:02:25.963235+00:00,2026-09-12T16:02:30.474177+00:00,
alzhimers,GaussianCopula,123,SUCCESS,2026-09-12T16:02:30.495725+00:00,2026-09-12T16:02:35.010858+00:00,
alzhimers,GaussianCopula,2024,SUCCESS,2026-09-12T16:02:35.031993+00:00,2026-09-12T16:02:39.546923+00:00,
alzhimers,CTABGAN,42,SUCCESS,2026-09-12T16:02:39.571131+00:00,2026-09-12T16:03:23.024042+00:00,
alzhimers,CTABGAN,123,SUCCESS,2026-09-12T16:03:23.046190+00:00,2026-09-12T16:04:06.230138+00:00,
alzhimers,CTABGAN,2024,SUCCESS,2026-09-12T16:04:06.251034+00:00,2026-09-12T16:04:49.509678+00:00,
alzhimers,WGAN_GP,42,FAILED,2026-09-12T16:04:49.530437+00:00,2026-09-12T16:04:59.139152+00:00,"Unknown label type: continuous. Maybe you are trying to fit a classifier, which expects discrete classes on a regression target with continuous values."
alzhimers,WGAN_GP,123,FAILED,2026-09-12T16:04:59.163139+00:00,2026-09-12T16:05:08.717144+00:00,"Unknown label type: continuous. Maybe you are trying to fit a classifier, which expects discrete classes on a regression target with continuous values."
alzhimers,WGAN_GP,2024,FAILED,2026-09-12T16:05:08.737604+00:00,2026-09-12T16:05:18.371586+00:00,"Unknown label type: continuous. Maybe you are trying to fit a classifier, which expects discrete classes on a regression target with continuous values."
alzhimers,TabDDPM,42,SUCCESS,2026-09-12T16:05:18.392334+00:00,2026-09-12T16:05:42.020827+00:00,
alzhimers,TabDDPM,123,SUCCESS,2026-09-12T16:05:42.041561+00:00,2026-09-12T16:06:05.735415+00:00,
alzhimers,TabDDPM,2024,SUCCESS,2026-09-12T16:06:05.759644+00:00,2026-09-12T16:06:29.395554+00:00,
alzhimers,ForestDiffusion,42,SUCCESS,2026-09-12T16:06:29.416581+00:00,2026-09-12T16:06:35.836582+00:00,
alzhimers,ForestDiffusion,123,SUCCESS,2026-09-12T16:06:35.858207+00:00,2026-09-12T16:06:40.738722+00:00,
alzhimers,ForestDiffusion,2024,SUCCESS,2026-09-12T16:06:40.760575+00:00,2026-09-12T16:06:45.664112+00:00,
adult,CTGAN,42,FAILED,2026-09-12T16:06:45.685590+00:00,2026-09-12T16:17:00.458316+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CTGAN,123,FAILED,2026-09-12T16:17:00.494570+00:00,2026-09-12T16:27:15.974108+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CTGAN,2024,FAILED,2026-09-12T16:27:16.008334+00:00,2026-09-12T16:37:29.503071+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CopulaGAN,42,FAILED,2026-09-12T16:37:29.537449+00:00,2026-09-12T16:47:43.113578+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CopulaGAN,123,FAILED,2026-09-12T16:47:43.148326+00:00,2026-09-12T16:57:56.138187+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CopulaGAN,2024,FAILED,2026-09-12T16:57:56.169310+00:00,2026-09-12T17:08:11.274255+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,TVAE,42,FAILED,2026-09-12T17:08:11.308973+00:00,2026-09-12T17:09:17.808892+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,TVAE,123,FAILED,2026-09-12T17:09:17.846180+00:00,2026-09-12T17:10:25.833493+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,TVAE,2024,FAILED,2026-09-12T17:10:25.868654+00:00,2026-09-12T17:11:32.894006+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,GaussianCopula,42,FAILED,2026-09-12T17:11:32.929318+00:00,2026-09-12T17:11:38.836303+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,GaussianCopula,123,FAILED,2026-09-12T17:11:38.871802+00:00,2026-09-12T17:11:44.757910+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,GaussianCopula,2024,FAILED,2026-09-12T17:11:44.791909+00:00,2026-09-12T17:11:50.726148+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CTABGAN,42,FAILED,2026-09-12T17:11:50.757761+00:00,2026-09-12T17:21:42.834114+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CTABGAN,123,FAILED,2026-09-12T17:21:42.869176+00:00,2026-09-12T17:31:32.881880+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,CTABGAN,2024,FAILED,2026-09-12T17:31:32.915622+00:00,2026-09-12T17:41:26.742146+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
adult,WGAN_GP,42,FAILED,2026-09-12T17:41:26.776605+00:00,2026-09-12T17:44:51.830120+00:00,The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.
