Dataset,Generator,TaskType,Metric,Mean,SourceFile
12. Air Quality,CopulaGAN,regression,RMSE_Increase,0.5974424056493908,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,CopulaGAN,regression,MAE_Increase,0.4248179294038252,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,CTGAN,regression,R2_Drop,0.8842786665185187,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,CTGAN,regression,MSE_Increase,1.195545988292916,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,CTGAN,regression,RMSE_Increase,0.647411554998045,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,CTGAN,regression,MAE_Increase,0.4694465391804445,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,ForestDiffusion,regression,R2_Drop,-0.005596766821519083,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,ForestDiffusion,regression,MSE_Increase,-289.4324928208483,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,ForestDiffusion,regression,RMSE_Increase,0.2013223914503016,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,ForestDiffusion,regression,MAE_Increase,0.09693746999078527,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,TabDDPM,regression,R2_Drop,2.1108377116537,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,TabDDPM,regression,MSE_Increase,109160.3492350546,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,TabDDPM,regression,RMSE_Increase,233.4489778684189,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,TabDDPM,regression,MAE_Increase,200.4986096404668,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,GaussianCopula,regression,R2_Drop,0.1934800603455744,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,GaussianCopula,regression,MSE_Increase,47.64457605665248,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,GaussianCopula,regression,RMSE_Increase,2.54667808989727,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,GaussianCopula,regression,MAE_Increase,2.433312210204112,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TVAE,regression,R2_Drop,0.3018465913293407,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TVAE,regression,MSE_Increase,73.90242173946918,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TVAE,regression,RMSE_Increase,3.706137416404111,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TVAE,regression,MAE_Increase,3.207297034542091,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,WGAN_GP,regression,R2_Drop,0.3315072389358171,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
