Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
1. Cancer,CopulaGAN,,,MMD_Multivariate,,0.210474,,,,,,0,,Score,Fidelity,0.210474,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTABGAN,,,KS_Complement,,0.962583,,,,,,0,,Score,Fidelity,0.962583,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,JS_Divergence,,0.320934,,,,,,0,,Score,Fidelity,0.320934,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,Wasserstein_Distance,,0.010063,,,,,,0,,Score,Fidelity,0.010063,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,Wasserstein_Distance,,0.037154,,,,,,0,,Score,Fidelity,0.037154,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,Gower_Distance,,0.845894,,,,,,0,,Score,Fidelity,0.845894,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,Gower_Distance,,0.87225,,,,,,0,,Score,Fidelity,0.87225,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,MMD,,0.001618,,,,,,0,,Score,Fidelity,0.001618,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,MMD,,0.045172,,,,,,0,,Score,Fidelity,0.045172,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,Cosine_Similarity,,0.021422,,,,,,0,,Score,Fidelity,0.021422,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,Cosine_Similarity,,-0.008807,,,,,,0,,Score,Fidelity,-0.008807,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,PCA_Mean_Error,,10.578803,,,,,,0,,Score,Fidelity,10.578803,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,PCA_Mean_Error,,1.608508,,,,,,0,,Score,Fidelity,1.608508,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,PCA_Correlation_Diff,,1.040025,,,,,,0,,Score,Fidelity,1.040025,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,PCA_Correlation_Diff,,0.153608,,,,,,0,,Score,Fidelity,0.153608,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,MMD_Multivariate,,0.000164,,,,,,0,,Score,Fidelity,0.000164,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,MMD_Multivariate,,0.029374,,,,,,0,,Score,Fidelity,0.029374,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,TabDDPM,,,KS_Complement,,0.684583,,,,,,0,,Score,Fidelity,0.684583,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,JS_Divergence,,0.946261,,,,,,0,,Score,Fidelity,0.946261,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,Wasserstein_Distance,,0.012196,,,,,,0,,Score,Fidelity,0.012196,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,Wasserstein_Distance,,0.424491,,,,,,0,,Score,Fidelity,0.424491,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,Gower_Distance,,0.478821,,,,,,0,,Score,Fidelity,0.478821,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,Gower_Distance,,0.860912,,,,,,0,,Score,Fidelity,0.860912,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,MMD,,0.003385,,,,,,0,,Score,Fidelity,0.003385,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,MMD,,0.568095,,,,,,0,,Score,Fidelity,0.568095,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,Cosine_Similarity,,0.020406,,,,,,0,,Score,Fidelity,0.020406,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,Cosine_Similarity,,-0.05887,,,,,,0,,Score,Fidelity,-0.05887,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,PCA_Mean_Error,,138.499025,,,,,,0,,Score,Fidelity,138.499025,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,PCA_Mean_Error,,1.192193,,,,,,0,,Score,Fidelity,1.192193,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,PCA_Correlation_Diff,,0.711648,,,,,,0,,Score,Fidelity,0.711648,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,PCA_Correlation_Diff,,0.193923,,,,,,0,,Score,Fidelity,0.193923,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,,MMD_Multivariate,,0.00178,,,,,,0,,Score,Fidelity,0.00178,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,TabDDPM,,,MMD_Multivariate,,0.370326,,,,,,0,,Score,Fidelity,0.370326,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
2. Alzhimers,CTGAN,,,KS_Complement,,0.993617,,,,,,0,,Score,Fidelity,0.993617,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,KS_Complement,,0.964383,,,,,,0,,Score,Fidelity,0.964383,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,JS_Divergence,,0.368286,,,,,,0,,Score,Fidelity,0.368286,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,JS_Divergence,,0.380076,,,,,,0,,Score,Fidelity,0.380076,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,Wasserstein_Distance,,0.051368,,,,,,0,,Score,Fidelity,0.051368,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,Wasserstein_Distance,,0.054921,,,,,,0,,Score,Fidelity,0.054921,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,Wasserstein_Distance,,0.108791,,,,,,0,,Score,Fidelity,0.108791,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,Wasserstein_Distance,,0.109986,,,,,,0,,Score,Fidelity,0.109986,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,,Gower_Distance,,0.735633,,,,,,0,,Score,Fidelity,0.735633,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,Gower_Distance,,0.733296,,,,,,0,,Score,Fidelity,0.733296,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,Gower_Distance,,0.788536,,,,,,0,,Score,Fidelity,0.788536,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,Gower_Distance,,0.791535,,,,,,0,,Score,Fidelity,0.791535,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,,MMD,,0.042209,,,,,,0,,Score,Fidelity,0.042209,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,,MMD,,0.053118,,,,,,0,,Score,Fidelity,0.053118,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CopulaGAN,,,MMD,,0.119443,,,,,,0,,Score,Fidelity,0.119443,Generators/SDV models/2. Alzhimers.ipynb
