,Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
28,12. Air Quality,GaussianCopula,0.0,0.9745403071981792,0.36527702737782874,0.8638840010003649,0.7585644313927298,1.0
31,12. Air Quality,WGAN_GP,0.0,0.9529431406948723,0.38184743512453945,0.48587497815521835,0.6414939802618762,2.0
29,12. Air Quality,TVAE,0.0,0.7681380798483921,0.4062925075479027,0.6856495099863926,0.6348378371996455,3.0
27,12. Air Quality,ForestDiffusion,0.0,0.7477654370330599,0.35543821016942695,0.710792836146988,0.6189754887081484,4.0
30,12. Air Quality,TabDDPM,0.0,0.7477654370330599,0.6583898908737843,0.2892620951130944,0.5834017706092876,5.0
26,12. Air Quality,CopulaGAN,0.0,0.5873713302132592,0.49308444714109234,0.6283913249083894,0.5713912637001481,6.0
24,12. Air Quality,CTABGAN,0.0,0.6482656639467583,0.3971122907637264,0.49849866468692117,0.5279895522138977,7.0
25,12. Air Quality,CTGAN,0.0,0.5553341002968986,0.45822135880335735,0.2737622911358792,0.44172873510053035,8.0
38,13. Concrete Compressive Strength,TabDDPM,0.0,0.8548526956922696,0.5255465987709471,0.698933188118484,0.7092850143437373,1.0
35,13. Concrete Compressive Strength,ForestDiffusion,0.0,0.8886612532162119,0.5165455835078658,0.6371210975016117,0.701564505589328,2.0
37,13. Concrete Compressive Strength,TVAE,0.0,0.795860714678542,0.45652957494091373,0.7903019990486772,0.6923937580682941,3.0
36,13. Concrete Compressive Strength,GaussianCopula,0.0,0.8339484754188274,0.5287299094552582,0.5897701968996554,0.669129422074005,4.0
39,13. Concrete Compressive Strength,WGAN_GP,0.0,0.7885548228664743,0.5043620733607317,0.44093604369275374,0.5990113642626353,5.0
32,13. Concrete Compressive Strength,CTABGAN,0.0,0.641878888623313,0.506791339984687,0.5183395096595771,0.5642908103426044,6.0
33,13. Concrete Compressive Strength,CTGAN,0.0,0.5215253873014836,0.5224437816344291,0.5048979227755163,0.516812666243577,7.0
40,13. Concrete Compressive Strength,,0.0,0.7198870169176266,0.1369601782338117,0.540703662676155,0.49125395904004066,8.0
34,13. Concrete Compressive Strength,CopulaGAN,0.0,0.4338138975438913,0.6287609209310772,0.14532934371296496,0.40575263841076914,9.0
46,14. Energy Efficiency,TVAE,0.0,0.8542851796949327,0.6019211138753604,0.6760752257053734,0.7251129737521932,1.0
44,14. Energy Efficiency,ForestDiffusion,0.0,0.9348685586009903,0.47428211160847533,0.6616165712382773,0.714717028294422,2.0
45,14. Energy Efficiency,GaussianCopula,0.0,0.7755206716808587,0.47807909249843694,0.751502858249971,0.6790828538968658,3.0
47,14. Energy Efficiency,TabDDPM,0.0,0.798252800911072,0.5811574707553901,0.26002218149749967,0.5716550160402958,4.0
48,14. Energy Efficiency,WGAN_GP,0.0,0.8750543193108299,0.2528535879484339,0.3311112795076925,0.52521118796117,5.0
42,14. Energy Efficiency,CTGAN,0.0,0.5328297357154795,0.6508759236619113,0.30176646940355967,0.4989246122058331,6.0
43,14. Energy Efficiency,CopulaGAN,0.0,0.45701791954489657,0.5506440034046646,0.2911771673826662,0.43535351905415787,7.0
49,14. Energy Efficiency,,0.0,0.6843653271734553,0.0,0.45729445146983355,0.4109344663103322,8.0
41,14. Energy Efficiency,CTABGAN,0.0,0.24709343192858307,0.5651087012342912,0.3850838587736284,0.38389514077380904,9.0
53,15. Real Estate Valuation,ForestDiffusion,0.0,0.9384500804549697,0.5302572795289394,0.7499973240920852,0.7594564132682953,1.0
