Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
2. Alzhimers,CTGAN,MLP,0,0.5756756756756757,0.104010169756183,2,0.576 ± 0.104
2. Alzhimers,CTGAN,Naive Bayes,0,0.7567567567567568,0.08546696378833457,2,0.757 ± 0.085
2. Alzhimers,CTGAN,Random Forest,0,0.6351351351351351,0.07572392284390217,2,0.635 ± 0.076
2. Alzhimers,CTGAN,SVM-RBF,0,0.6108108108108109,0.06751349187457728,2,0.611 ± 0.068
2. Alzhimers,CopulaGAN,AdaBoost,0,0.4081081081081082,0.05976579564188102,2,0.408 ± 0.060
2. Alzhimers,CopulaGAN,Decision Tree,0,0.4486486486486486,0.09378027877241876,2,0.449 ± 0.094
2. Alzhimers,CopulaGAN,Extra Trees,0,0.3567567567567568,0.0950183558445781,2,0.357 ± 0.095
2. Alzhimers,CopulaGAN,Gradient Boosting,0,0.3189189189189189,0.08614798621896881,2,0.319 ± 0.086
2. Alzhimers,CopulaGAN,KNN,0,0.3675675675675676,0.05945945945945945,2,0.368 ± 0.059
2. Alzhimers,CopulaGAN,Logistic Regression,0,0.3756756756756757,0.101450402049316,2,0.376 ± 0.101
2. Alzhimers,CopulaGAN,MLP,0,0.3972972972972973,0.06842696703336304,2,0.397 ± 0.068
2. Alzhimers,CopulaGAN,Naive Bayes,0,0.4324324324324325,0.07252112359458776,2,0.432 ± 0.073
2. Alzhimers,CopulaGAN,Random Forest,0,0.3351351351351352,0.09981721790605073,2,0.335 ± 0.100
2. Alzhimers,CopulaGAN,SVM-RBF,0,0.3351351351351352,0.07663484799328554,2,0.335 ± 0.077
2. Alzhimers,ForestDiffusion,AdaBoost,0,0.9378378378378379,0.02972972972972974,2,0.938 ± 0.030
2. Alzhimers,ForestDiffusion,Decision Tree,0,0.9135135135135135,0.04151970674523572,2,0.914 ± 0.042
2. Alzhimers,ForestDiffusion,Extra Trees,0,0.9432432432432434,0.02245033476464344,2,0.943 ± 0.022
2. Alzhimers,ForestDiffusion,Gradient Boosting,0,0.9324324324324325,0.03254485021295216,2,0.932 ± 0.033
2. Alzhimers,ForestDiffusion,KNN,0,0.9027027027027028,0.0582179979149676,2,0.903 ± 0.058
2. Alzhimers,ForestDiffusion,Logistic Regression,0,0.9243243243243244,0.03783783783783785,2,0.924 ± 0.038
2. Alzhimers,ForestDiffusion,MLP,0,0.9459459459459459,0.0319788096383763,2,0.946 ± 0.032
2. Alzhimers,ForestDiffusion,Naive Bayes,0,0.9297297297297298,0.03243243243243243,2,0.930 ± 0.032
2. Alzhimers,ForestDiffusion,Random Forest,0,0.9324324324324325,0.03471684480720305,2,0.932 ± 0.035
2. Alzhimers,ForestDiffusion,SVM-RBF,0,0.9243243243243244,0.03783783783783785,2,0.924 ± 0.038
2. Alzhimers,GaussianCopula,AdaBoost,0,0.9135135135135137,0.03972145528837587,2,0.914 ± 0.040
2. Alzhimers,GaussianCopula,Decision Tree,0,0.6405405405405405,0.08803512148595855,2,0.641 ± 0.088
2. Alzhimers,GaussianCopula,Extra Trees,0,0.9297297297297298,0.04221756581571164,2,0.930 ± 0.042
2. Alzhimers,GaussianCopula,Gradient Boosting,0,0.8297297297297298,0.09897207256000301,2,0.830 ± 0.099
2. Alzhimers,GaussianCopula,KNN,0,0.8405405405405405,0.05976579564188104,2,0.841 ± 0.060
2. Alzhimers,GaussianCopula,Logistic Regression,0,0.9270270270270272,0.03209281645145384,2,0.927 ± 0.032
2. Alzhimers,GaussianCopula,MLP,0,0.8891891891891893,0.06332634872356747,2,0.889 ± 0.063
2. Alzhimers,GaussianCopula,Naive Bayes,0,0.9351351351351351,0.030096023582865,2,0.935 ± 0.030
2. Alzhimers,GaussianCopula,Random Forest,0,0.8945945945945946,0.05465877950312618,2,0.895 ± 0.055
2. Alzhimers,GaussianCopula,SVM-RBF,0,0.9297297297297298,0.030096023582865,2,0.930 ± 0.030
2. Alzhimers,TVAE,AdaBoost,0,0.9324324324324325,0.03471684480720306,2,0.932 ± 0.035
2. Alzhimers,TVAE,Decision Tree,0,0.9486486486486487,0.02245033476464345,2,0.949 ± 0.022
2. Alzhimers,TVAE,Extra Trees,0,0.9297297297297298,0.03243243243243243,2,0.930 ± 0.032
2. Alzhimers,TVAE,Gradient Boosting,0,0.9324324324324325,0.03471684480720305,2,0.932 ± 0.035
2. Alzhimers,TVAE,KNN,0,0.9135135135135135,0.05896601143046332,2,0.914 ± 0.059
2. Alzhimers,TVAE,Logistic Regression,0,0.9351351351351352,0.03243243243243243,2,0.935 ± 0.032
2. Alzhimers,TVAE,MLP,0,0.927027027027027,0.04990860895302537,2,0.927 ± 0.050
2. Alzhimers,TVAE,Naive Bayes,0,0.9297297297297298,0.03243243243243243,2,0.930 ± 0.032
2. Alzhimers,TVAE,Random Forest,0,0.9405405405405405,0.0358554031389773,2,0.941 ± 0.036
2. Alzhimers,TVAE,SVM-RBF,0,0.9243243243243244,0.03783783783783785,2,0.924 ± 0.038
2. Alzhimers,TabDDPM,AdaBoost,0,0.4108108108108108,0.0852958585841054,2,0.411 ± 0.085
2. Alzhimers,TabDDPM,Decision Tree,0,0.4864864864864865,0.07644397634449161,2,0.486 ± 0.076
2. Alzhimers,TabDDPM,Extra Trees,0,0.3486486486486486,0.09703417876224996,2,0.349 ± 0.097
2. Alzhimers,TabDDPM,Gradient Boosting,0,0.3864864864864865,0.07357112210170919,2,0.386 ± 0.074
2. Alzhimers,TabDDPM,KNN,0,0.427027027027027,0.04490066952928689,2,0.427 ± 0.045
2. Alzhimers,TabDDPM,Logistic Regression,0,0.1,0.06049467374486323,2,0.100 ± 0.060
2. Alzhimers,TabDDPM,MLP,0,0.3351351351351352,0.06858690562405147,2,0.335 ± 0.069
2. Alzhimers,TabDDPM,Naive Bayes,0,0.1837837837837838,0.1024178125486293,2,0.184 ± 0.102
2. Alzhimers,TabDDPM,Random Forest,0,0.3621621621621622,0.0664227336618622,2,0.362 ± 0.066
2. Alzhimers,TabDDPM,SVM-RBF,0,0.1,0.05675675675675676,2,0.100 ± 0.057
2. Alzhimers,WGAN_GP,AdaBoost,0,0.7891891891891893,0.1009813064446995,2,0.789 ± 0.101
2. Alzhimers,WGAN_GP,Decision Tree,0,0.6918918918918919,0.1191643658651276,2,0.692 ± 0.119
2. Alzhimers,WGAN_GP,Extra Trees,0,0.8162162162162161,0.06139360373838135,2,0.816 ± 0.061
2. Alzhimers,WGAN_GP,Gradient Boosting,0,0.754054054054054,0.0962784493543615,2,0.754 ± 0.096
2. Alzhimers,WGAN_GP,KNN,0,0.7000000000000001,0.04089931337951772,2,0.700 ± 0.041
2. Alzhimers,WGAN_GP,Logistic Regression,0,0.7864864864864866,0.08058406224797608,2,0.786 ± 0.081
2. Alzhimers,WGAN_GP,MLP,0,0.7648648648648649,0.06514578807131866,2,0.765 ± 0.065
2. Alzhimers,WGAN_GP,Naive Bayes,0,0.727027027027027,0.0699054981425814,2,0.727 ± 0.070
2. Alzhimers,WGAN_GP,Random Forest,0,0.8432432432432433,0.06486486486486487,2,0.843 ± 0.065
2. Alzhimers,WGAN_GP,SVM-RBF,0,0.7648648648648649,0.08290736027123226,2,0.765 ± 0.083
3. Adult,CTABGAN,AdaBoost,0,0.742,0.04703426646841878,2,0.742 ± 0.047
3. Adult,CTABGAN,Decision Tree,0,0.488,0.1081716742549135,2,0.488 ± 0.108
