Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
2. Alzhimers,CopulaGAN,AdaBoost,0,0.5963059440559441,0.04557070168738021,2,0.596 ± 0.046
2. Alzhimers,CopulaGAN,Decision Tree,0,0.5409123457187973,0.08415508984567743,2,0.541 ± 0.084
2. Alzhimers,CopulaGAN,Extra Trees,0,0.5157761540387684,0.08031555965479942,2,0.516 ± 0.080
2. Alzhimers,CopulaGAN,Gradient Boosting,0,0.5671414069801166,0.04541707167982553,2,0.567 ± 0.045
2. Alzhimers,CopulaGAN,KNN,0,0.4468590665588638,0.05626514815062895,2,0.447 ± 0.056
2. Alzhimers,CopulaGAN,Logistic Regression,0,0.6686308986712213,0.1033039546889078,2,0.669 ± 0.103
2. Alzhimers,CopulaGAN,MLP,0,0.4741345512373779,0.06722266273343494,2,0.474 ± 0.067
2. Alzhimers,CopulaGAN,Naive Bayes,0,0.7285913101864337,0.09222943714870714,2,0.729 ± 0.092
2. Alzhimers,CopulaGAN,Random Forest,0,0.5909000012715182,0.1063301025294315,2,0.591 ± 0.106
2. Alzhimers,CopulaGAN,SVM-RBF,0,0.5174675026690786,0.08379147975185122,2,0.517 ± 0.084
2. Alzhimers,ForestDiffusion,AdaBoost,0,0.9835374073764166,0.01788472955671827,2,0.984 ± 0.018
2. Alzhimers,ForestDiffusion,Decision Tree,0,0.9219388885874954,0.03039795167188453,2,0.922 ± 0.030
2. Alzhimers,ForestDiffusion,Extra Trees,0,0.9860274560274561,0.01397856672567184,2,0.986 ± 0.014
2. Alzhimers,ForestDiffusion,Gradient Boosting,0,0.9887212001917887,0.01382508701882397,2,0.989 ± 0.014
2. Alzhimers,ForestDiffusion,KNN,0,0.9881840449582384,0.01452403234957743,2,0.988 ± 0.015
2. Alzhimers,ForestDiffusion,Logistic Regression,0,0.9886418351124234,0.01392151593083359,2,0.989 ± 0.014
2. Alzhimers,ForestDiffusion,MLP,0,0.9781359532907519,0.02363022285354803,2,0.978 ± 0.024
2. Alzhimers,ForestDiffusion,Naive Bayes,0,0.9696699246699246,0.02511257901514386,2,0.970 ± 0.025
2. Alzhimers,ForestDiffusion,Random Forest,0,0.9887212001917887,0.01382508701882397,2,0.989 ± 0.014
2. Alzhimers,ForestDiffusion,SVM-RBF,0,0.9886418351124234,0.01392151593083359,2,0.989 ± 0.014
2. Alzhimers,GaussianCopula,AdaBoost,0,0.8453523615522769,0.04616498622831192,2,0.845 ± 0.046
2. Alzhimers,GaussianCopula,Decision Tree,0,0.5783833486236643,0.05253445918245728,2,0.578 ± 0.053
2. Alzhimers,GaussianCopula,Extra Trees,0,0.8324641581462666,0.03724699900081904,2,0.832 ± 0.037
2. Alzhimers,GaussianCopula,Gradient Boosting,0,0.776453756941373,0.0641380603369301,2,0.776 ± 0.064
2. Alzhimers,GaussianCopula,KNN,0,0.7612874117752166,0.02677372767293303,2,0.761 ± 0.027
2. Alzhimers,GaussianCopula,Logistic Regression,0,0.8668210904058145,0.02365608021913197,2,0.867 ± 0.024
2. Alzhimers,GaussianCopula,MLP,0,0.740951260368521,0.04341292619891954,2,0.741 ± 0.043
2. Alzhimers,GaussianCopula,Naive Bayes,0,0.9070202241062318,0.03494229492416021,2,0.907 ± 0.035
2. Alzhimers,GaussianCopula,Random Forest,0,0.8139905148856601,0.05284786514860735,2,0.814 ± 0.053
2. Alzhimers,GaussianCopula,SVM-RBF,0,0.8349089959640157,0.04460239284710538,2,0.835 ± 0.045
2. Alzhimers,TVAE,AdaBoost,0,0.8707876420841762,0.03595519516591249,2,0.871 ± 0.036
2. Alzhimers,TVAE,Decision Tree,0,0.7237179639865274,0.04788940620012164,2,0.724 ± 0.048
2. Alzhimers,TVAE,Extra Trees,0,0.8490791155358878,0.0455651183291642,2,0.849 ± 0.046
2. Alzhimers,TVAE,Gradient Boosting,0,0.791860465116279,0.03694174335554341,2,0.792 ± 0.037
2. Alzhimers,TVAE,KNN,0,0.8345206764173388,0.03715726291248089,2,0.835 ± 0.037
2. Alzhimers,TVAE,Logistic Regression,0,0.8745007844815291,0.02731715207812539,2,0.875 ± 0.027
2. Alzhimers,TVAE,MLP,0,0.7856093225477638,0.06072881337479635,2,0.786 ± 0.061
2. Alzhimers,TVAE,Naive Bayes,0,0.9671094694778904,0.02593704662353476,2,0.967 ± 0.026
2. Alzhimers,TVAE,Random Forest,0,0.7815240306166021,0.04028433609379618,2,0.782 ± 0.040
2. Alzhimers,TVAE,SVM-RBF,0,0.8886854978341047,0.01748107181510726,2,0.889 ± 0.017
2. Alzhimers,TabDDPM,AdaBoost,0,0.6319471563295094,0.1346701238878538,2,0.632 ± 0.135
2. Alzhimers,TabDDPM,Decision Tree,0,0.5019145190771878,0.021382753854929,2,0.502 ± 0.021
2. Alzhimers,TabDDPM,Extra Trees,0,0.5159377172535067,0.0987016295169273,2,0.516 ± 0.099
2. Alzhimers,TabDDPM,Gradient Boosting,0,0.5976570423041011,0.05875270115468078,2,0.598 ± 0.059
2. Alzhimers,TabDDPM,KNN,0,0.5185386059065147,0.05039762825351469,2,0.519 ± 0.050
2. Alzhimers,TabDDPM,Logistic Regression,0,0.6543803418803419,0.2492735674639203,2,0.654 ± 0.249
2. Alzhimers,TabDDPM,MLP,0,0.4459420829741657,0.07442553174320657,2,0.446 ± 0.074
